identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,ammoRechargingVFX,ammoChargedVFX,ammoRechargingSFX,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String,String,String,String
E19Q4InvokerDragon_1,1,food:0,1,,174382,16130,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1,29270,food:180,4.2,rage1,8,28207,1,experience:0,14855,5,4,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_2,2,food:30413,1,,234624,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1,34511,food:228,4.2,rage1,9,44780,1,experience:0,23590,5,4,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_3,3,food:38016,1,,297085,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1,43407,food:294,4.2,rage1,11,70412,1,experience:0,37577,5,4,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_4,4,food:49421,1,,383722,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1,56377,food:366,4.2,rage1,13,106794,1,experience:0,62985,5,4,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_5,5,E19Q4InvokerDragonGreenStone:1,1,have2GreenEpic,438703,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1,63710,food:402,4.2,rage1,14,121267,1,experience:0,81371,11,5,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_6,6,food:66528,1,,553344,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1,70423,food:438,4.2,rage1,15,158322,1,experience:0,113471,11,5,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_7,7,food:72231,1,,594867,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1,76312,food:474,4.2,rage1,16,179623,1,experience:0,132194,11,5,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_8,8,food:77933,1,,645041,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1,83656,food:510,4.2,rage1,17,229183,1,experience:0,157158,11,5,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_9,9,food:83636,1,,731377,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1,93770,food:546,4.2,rage1,18,261403,1,experience:0,199757,11,5,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_10,10,food:89338,1,,828995,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1,106547,food:582,4.2,rage1,18,329153,1,experience:0,257248,11,5,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_11,11,E19Q4InvokerDragonGoldStone:1,1,haveGoldLegendary,944827,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,120866,food:618,4.2,rage1,18,372901,1,experience:0,332592,18,6,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_12,12,food:100743,1,,1142023,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,145920,food:672,4.2,rage1,18,450679,1,experience:0,485316,18,6,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_13,13,food:109296,1,,1361972,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,172732,food:726,4.2,rage1,18,505202,1,experience:0,685143,18,6,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_14,14,food:117850,1,,1513057,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,193021,food:780,4.2,rage1,18,544044,1,experience:0,850504,18,6,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
E19Q4InvokerDragon_15,15,food:126404,1,have2LegendaryGold,1670079,17280,unisonCharge:E19Q4InvokerDragon_unisonCharge,umbralSpike:invokeExcavate1|invincibleSpell:magicBarrier1|cloak:hoverMode1|deflectingGale:rapidCooling1,213454,food:852,4.2,rage1,18,600520,1,experience:0,1038133,18,6,5,prj_drg_dwarfTunnel_recharging.lvl,prj_drg_dwarfTunnel_charged.lvl,unison_charge_recharging,
