identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,explosionSceneFile,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,perNeighborPercentageActivatedAttackIncrease,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,inRangeCompoundParticleEffectIdentifier,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,Integer,String,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,Integer,String,String,String,String,String,String,String,Integer,String,Float,Float,Integer,Integer,String,LocalizedString,String,Integer,String,String,Integer,String
LightningTowerUpgrades_1,1,0,bld_lightning_level01.lvl,stru_tower_lobLocators.lvl,bld_lightning_level01_death.lvl,piercing:12,990,,1,6991,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,863,1078,0,0,,,,,experience:28,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,0,,,15,
LightningTowerUpgrades_2,2,0,bld_lightning_level02.lvl,stru_tower_lobLocators.lvl,bld_lightning_level02_death.lvl,piercing:208,3510,,1,8643,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,1197,1497,0,0,,,,,experience:98,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,0,,,28,
LightningTowerUpgrades_3,3,0,bld_lightning_level03.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,piercing:463,7200,,1,10261,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,1687,2109,0,0,,,,,experience:225,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,1,,,45,
LightningTowerUpgrades_4,4,0,bld_lightning_level03-2.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,piercing:861,10800,,1,11982,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,2293,2867,0,0,,,,,experience:383,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,1,,,66,
LightningTowerUpgrades_5,5,0,bld_lightning_level03-3.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,piercing:1463,16200,,1,14255,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,3118,3898,0,0,,,,,experience:428,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,1,,,104,
LightningTowerUpgrades_6,6,0,bld_lightning_level03-4.lvl,stru_tower_lobLocators.lvl,bld_lightning_level03_death.lvl,piercing:1894,21600,,7,16884,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,4226,5283,0,0,,,,,experience:600,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,2,,,165,
LightningTowerUpgrades_7,7,0,bld_lightning_level04.lvl,stru_tower_lobLocators.lvl,bld_lightning_level04_death.lvl,piercing:2698,28800,,12,19892,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,5707,7134,0,0,,,,,experience:750,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,2,,,272,
LightningTowerUpgrades_8,8,0,bld_lightning_level04-2.lvl,stru_tower_lobLocators.lvl,bld_lightning_level04_death.lvl,piercing:3714,36000,,12,23314,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,7677,9596,0,0,,,,,experience:750,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,3,,,437,
LightningTowerUpgrades_9,9,0,bld_lightning_level04-3.lvl,stru_tower_lobLocators.lvl,bld_lightning_level04_death.lvl,piercing:5703,43200,,17,27185,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,9083,11354,0,0,,,,,experience:924,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,3,,,588,
LightningTowerUpgrades_10,10,0,bld_lightning_level04-4.lvl,stru_tower_lobLocators.lvl,bld_lightning_level04_death.lvl,piercing:8712,57600,,17,30537,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,10202,12753,0,0,,,,,experience:1264,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,3,,,759,
LightningTowerUpgrades_11,11,0,bld_lightning_level05.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:12869,72000,,21,34165,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,11413,14267,0,0,,,,,experience:1298,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,4,,,925,
LightningTowerUpgrades_12,12,0,bld_lightning_level05-2.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:17819,86400,,21,38072,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,12716,15895,0,0,,,,,experience:1667,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,4,,,1161,
LightningTowerUpgrades_13,13,0,bld_lightning_level05-3.lvl,stru_tower_lobLocators.lvl,bld_lightning_level05_death.lvl,piercing:26927,129600,,25,42382,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,14154,17692,0,0,,,,,experience:2058,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,5,,,1450,
