identifier,runeName,runeType,runeSlot,availableTypes,availableDragons,rarityIndex,abilities,abilityOperators,abilityTexts,abilityUnits,enhanceValues1,enhanceValues2,enhanceCosts,aura,icon,isTutorialRune,h
String,LocalizedString,String,String,String,String,String,String,LocalizedString,LocalizedString,LocalizedString,String,String,String,String,String,Integer,String
attackRune0,Common Rage,dragon,normal,,,0,dragonRageGenerationModifier,+,Rage Generation,%,0.021|0.027,,500,specialWhelp,rune_rage_strength_01.png,1,
attackTowerRune0,Common Cannon Attack,monument,normal,,,0,buildingAttackModifier_cannonTower,+,Increase Cannon Tower Attack,%,0.005|0.01,,500,attackRuneCannon,rune_cannon_damage_01.png,1,
Common_AOESpellDamageIncreaseModifierKey,Common Fireball,dragon,normal,,,0,spellDamageIncreaseModifier_aoeSpell,+,Fireball Damage,%,0.056|0.072,,500,attackWhelp,rune_fireball_strength_01.png,,
Common_AOESpellDamageIncreaseModifierKeyEvent,Common Fireball Glyph,dragon,event,,,0,spellDamageIncreaseModifier_aoeSpell,+,Fireball Damage,%,0.056|0.072,,500,attackWhelp,rune_windWall_EXP_duration_01.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_archerTower,Common Archer Attack,monument,normal,,,0,buildingAttackModifier_archerTower,+,Increase Archer Tower Attack,%,0.005|0.01,,500,attackRuneArcher,rune_archer_projectiles_01.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_archerTowerEvent,Common Archer Attack Glyph,monument,event,,,0,buildingAttackModifier_archerTower,+,Increase Archer Tower Attack,%,0.005|0.01,,500,attackRuneArcher,rune_ballista_projectiles_utility_01.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_ballista,Common Ballista Attack,monument,normal,,,0,buildingAttackModifier_ballista,+,Increase Ballista Tower Attack,%,0.005|0.01,,500,attackRunePoison,rune_ballista_damage_01.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_ballistaEvent,Common Ballista Attack Glyph,monument,event,,,0,buildingAttackModifier_ballista,+,Increase Ballista Tower Attack,%,0.005|0.01,,500,attackRunePoison,rune_ballista_damage_01_event.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_cannonTower,Common Cannon Attack,monument,normal,,,0,buildingAttackModifier_cannonTower,+,Increase Cannon Tower Attack,%,0.005|0.01,,500,attackRuneCannon,rune_cannon_damage_01.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_cannonTowerEvent,Common Cannon Attack Glyph,monument,event,,,0,buildingAttackModifier_cannonTower,+,Increase Cannon Tower Attack,%,0.005|0.01,,500,attackRuneCannon,rune_cannon_damage_01_event.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_lightningTower,Common Lightning Attack,monument,normal,,,0,buildingAttackModifier_lightningTower,+,Increase Lightning Tower Attack,%,0.005|0.01,,500,attackRuneLightning,rune_lightning_damage_01.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_lightningTowerEvent,Common Lightning Attack Glyph,monument,event,,,0,buildingAttackModifier_lightningTower,+,Increase Lightning Tower Attack,%,0.005|0.01,,500,attackRuneLightning,rune_lightning_damage_01_event.png,,
Common_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_stormTower,Common Storm Attack,monument,normal,,,0,buildingAttackModifier_stormTower,+,Increase Storm Tower Attack,%,0.005|0.01,,500,attackRuneStorm,rune_stormTower_utility_01.png,,
