identifier,inBundle,displayName,purchaseCurrencyFormat,expandDuration,initialState,heightAttackBonus,unlockAchievement,unexpandedPodNames,sceneFile,isShownWhileLocked,islandIdentifier,battleExpansionIdentifier,attackableIslandIdentifier,clearsOnRegionExpansion,castShadows,drawDirtPatch,ignoreBuildingScaleModifier,sceneFileNodeName,validBuildingTypes,foliagePODName,isShownInBattle,h
String,Integer,LocalizedString,String,Integer,String,Integer,String,String,String,Integer,String,String,String,Integer,Integer,Integer,Integer,String,String,String,Integer,String
expansion_001,1,FOREST,food:6,60,EXPANDED,0,bothTutorialUnlockExpansion001,,bld_expansionSlot_version02.lvl,,island01,island02,island01,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_001,,
expansion_002,1,FOREST,food:7,5,EXPANDED,0,bothTutorialUnlockExpansion002,,bld_expansionSlot_version01.lvl,,island01,island02,island01,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_002,,
expansion_003,1,FOREST,food:8,5,LOCKED,0,bothTutorialUnlockExpansion003,,bld_expansionSlot_version01.lvl,,island01,island02,island01,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_003,,
expansion_004,1,FOREST,food:9,60,LOCKED,0,bothTutorialUnlockExpansion004,,bld_expansionSlot_version01.lvl,,island01,island02,island01,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_004,,
expansion_005,1,FOREST,food:10,600,LOCKED,0,bothTutorialUnlockExpansion005,,bld_expansionSlot_version01.lvl,,island01,island02,island01,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_005,,
expansion_006,1,FOREST,food:19,900,LOCKED,0,level03,,bld_expansionSlot_version02.lvl,,island02,island02,island02,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_006,,
expansion_007,1,FOREST,food:20,1200,LOCKED,0,level03,,bld_expansionSlot_version03.lvl,,island02,island02,island02,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_007,,
expansion_008,1,FOREST,food:72,1800,LOCKED,0,level03,,bld_expansionSlot_version02.lvl,,island02,island02,island02,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_008,,
expansion_009,1,FOREST,food:98,3060,LOCKED,0,level04,,bld_expansionSlot_version02.lvl,,island02,island02,island02,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_009,,
expansion_010,1,FOREST,food:140,5202,LOCKED,0,level04,,bld_expansionSlot_version02.lvl,,island02,island02,island02,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_010,,
expansion_011,1,FOREST,food:294,8843,LOCKED,0,level04,,bld_expansionSlot_version01.lvl,,island03,island03,island03,,1,1,0,,TOWER|AURA|HARVEST|TOTEM,foliageNode_expansion_011,,
