identifier,rageDamage,battleTextIdentifier,h
String,Integer,String,String
rageReduction1,100,mageShotText,
rageReduction2,100,mageShotText,
rageReduction3,100,mageShotText,
rageReduction4,100,mageShotText,
rageReduction5,100,mageShotText,
rageReduction6,100,mageShotText,
rageReduction7,100,mageShotText,
rageReduction8,100,mageShotText,
rageReduction9,100,mageShotText,
rageReduction10,100,mageShotText,
rageReduction11,100,mageShotText,
rageReduction12,100,mageShotText,
rageReduction13,100,mageShotText,
rageReduction14,100,mageShotText,
rageReduction15,100,mageShotText,
rageReduction16,100,mageShotText,
rageReduction17,100,mageShotText,
rageReduction18,100,mageShotText,
rageReduction19,100,mageShotText,
rageReduction20,100,mageShotText,
rageReduction21,100,mageShotText,
rageReduction22,100,mageShotText,
rageReduction23,100,mageShotText,
rageReduction24,100,mageShotText,
rageReduction25,100,mageShotText,
rageReductionRageBreaker1,100,mageShotRageBreakerText,
rageReductionRageBreaker2,100,mageShotRageBreakerText,
rageReductionRageBreaker3,100,mageShotRageBreakerText,
rageReductionRageBreaker4,100,mageShotRageBreakerText,
rageReductionRageBreaker5,100,mageShotRageBreakerText,
rageReductionRageBreaker6,100,mageShotRageBreakerText,
rageReductionRageBreaker7,100,mageShotRageBreakerText,
rageReductionRageBreaker8,100,mageShotRageBreakerText,
rageReductionRageBreaker9,100,mageShotRageBreakerText,
rageReductionRageBreaker10,100,mageShotRageBreakerText,
rageReductionRageBreaker11,100,mageShotRageBreakerText,
rageReductionRageBreaker12,100,mageShotRageBreakerText,
rageReductionRageBreaker13,100,mageShotRageBreakerText,
rageReductionRageBreaker14,100,mageShotRageBreakerText,
rageReductionRageBreaker15,100,mageShotRageBreakerText,
rageReductionRageBreaker16,100,mageShotRageBreakerText,
rageReductionRageBreaker17,100,mageShotRageBreakerText,
rageReductionRageBreaker18,100,mageShotRageBreakerText,
rageReductionRageBreaker19,100,mageShotRageBreakerText,
rageReductionRageBreaker20,100,mageShotRageBreakerText,
rageReductionRageBreaker21,100,mageShotRageBreakerText,
rageReductionRageBreaker22,100,mageShotRageBreakerText,
rageReductionRageBreaker23,100,mageShotRageBreakerText,
rageReductionRageBreaker24,100,mageShotRageBreakerText,
rageReductionRageBreaker25,100,mageShotRageBreakerText,
rageBlueReduction1,17,mageShotText,
rageBlueReduction2,17,mageShotText,
rageBlueReduction3,17,mageShotText,
rageBlueReduction4,17,mageShotText,
rageBlueReduction5,17,mageShotText,
rageBlueReduction6,17,mageShotText,
rageBlueReduction7,17,mageShotText,
rageBlueReduction8,17,mageShotText,
rageBlueReduction9,17,mageShotText,
rageBlueReduction10,17,mageShotText,
rageBlueReduction11,17,mageShotText,
rageBlueReduction12,17,mageShotText,
rageBlueReduction13,17,mageShotText,
rageBlueReduction14,17,mageShotText,
rageBlueReduction15,17,mageShotText,
rageBlueReduction16,17,mageShotText,
rageBlueReduction17,17,mageShotText,
rageBlueReduction18,17,mageShotText,
rageBlueReduction19,17,mageShotText,
rageBlueReduction20,17,mageShotText,
rageBlueReduction21,17,mageShotText,
rageBlueReduction22,17,mageShotText,
rageBlueReduction23,17,mageShotText,
rageBlueReduction24,17,mageShotText,
rageBlueReduction25,17,mageShotText,
rageBlueReductionRageBreaker1,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker2,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker3,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker4,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker5,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker6,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker7,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker8,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker9,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker10,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker11,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker12,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker13,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker14,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker15,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker16,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker17,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker18,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker19,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker20,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker21,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker22,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker23,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker24,23,mageShotRageBreakerText,
rageBlueReductionRageBreaker25,23,mageShotRageBreakerText,
rageBlueReductionSilent1,17,,
rageBlueReductionSilent2,17,,
rageBlueReductionSilent3,17,,
rageBlueReductionSilent4,17,,
rageBlueReductionSilent5,17,,
rageBlueReductionSilent6,17,,
rageBlueReductionSilent7,17,,
rageBlueReductionSilent8,17,,
rageBlueReductionSilent9,17,,
rageBlueReductionSilent10,17,,
rageBlueReductionSilent11,17,,
rageBlueReductionSilent12,17,,
rageBlueReductionSilent13,17,,
rageBlueReductionSilent14,17,,
rageBlueReductionSilent15,17,,
rageBlueReductionSilent16,17,,
rageBlueReductionSilent17,17,,
rageBlueReductionSilent18,17,,
rageBlueReductionSilent19,17,,
rageBlueReductionSilent20,17,,
rageBlueReductionSilent21,17,,
rageBlueReductionSilent22,17,,
rageBlueReductionSilent23,17,,
rageBlueReductionSilent24,17,,
rageBlueReductionSilent25,17,,
rageBlueReductionRageBreakerSilent1,23,,
rageBlueReductionRageBreakerSilent2,23,,
rageBlueReductionRageBreakerSilent3,23,,
rageBlueReductionRageBreakerSilent4,23,,
rageBlueReductionRageBreakerSilent5,23,,
rageBlueReductionRageBreakerSilent6,23,,
rageBlueReductionRageBreakerSilent7,23,,
rageBlueReductionRageBreakerSilent8,23,,
rageBlueReductionRageBreakerSilent9,23,,
rageBlueReductionRageBreakerSilent10,23,,
rageBlueReductionRageBreakerSilent11,23,,
rageBlueReductionRageBreakerSilent12,23,,
rageBlueReductionRageBreakerSilent13,23,,
rageBlueReductionRageBreakerSilent14,23,,
rageBlueReductionRageBreakerSilent15,23,,
rageBlueReductionRageBreakerSilent16,23,,
rageBlueReductionRageBreakerSilent17,23,,
rageBlueReductionRageBreakerSilent18,23,,
rageBlueReductionRageBreakerSilent19,23,,
rageBlueReductionRageBreakerSilent20,23,,
rageBlueReductionRageBreakerSilent21,23,,
rageBlueReductionRageBreakerSilent22,23,,
rageBlueReductionRageBreakerSilent23,23,,
rageBlueReductionRageBreakerSilent24,23,,
rageBlueReductionRageBreakerSilent25,23,,
rageGainByAbsorbMagic1,-200,rageGainedText,!@#ohghhmdgncfjjkkg
