identifier,beastLevel,displayName,goldMultiplier,shardMultiplier,teamDrops,probabilityDrop,duration,beastModel,huntPowerRequirement,scale,h
String,Integer,LocalizedString,Float,Float,Map<String:Integer>,String,Integer,String,Integer,Float,String
beast1,1,Spider Tiger,0.95,0.95,,beastDrop1,14400,prop_wm_beast01.pod,1200,0.0065,
beast2,2,Spider Tiger,0.96,0.96,,beastDrop2,14400,prop_wm_beast01.pod,1400,0.0065,
beast3,3,Spider Tiger,0.97,0.97,,beastDrop3,14400,prop_wm_beast01.pod,1600,0.0065,
beast4,4,Spider Tiger,0.98,0.98,,beastDrop4,14400,prop_wm_beast01.pod,1800,0.0065,
beast5,5,Spider Tiger,0.99,0.99,,beastDrop5,14400,prop_wm_beast01.pod,2000,0.0065,
beast6,6,Spider Tiger,1,1,,beastDrop6,14400,prop_wm_beast01.pod,2400,0.0065,
beast7,7,Spider Tiger,1.01,1.01,,beastDrop7,14400,prop_wm_beast01.pod,2800,0.0065,
beast8,8,Bi-Wolf,1.02,1.02,,beastDrop8,14400,prop_wm_beast02.pod,3200,0.0065,
beast9,9,Bi-Wolf,1.03,1.03,,beastDrop9,14400,prop_wm_beast02.pod,3600,0.0065,
beast10,10,Bi-Wolf,1.04,1.04,,beastDrop10,14400,prop_wm_beast02.pod,4000,0.0065,
beast11,11,Bi-Wolf,1.05,1.05,,beastDrop11,14400,prop_wm_beast02.pod,4400,0.0065,
beast12,12,Bi-Wolf,1.06,1.06,,beastDrop12,14400,prop_wm_beast02.pod,4800,0.0065,
beast13,13,Bi-Wolf,1.07,1.07,,beastDrop13,14400,prop_wm_beast02.pod,5200,0.0065,
beast14,14,Bi-Wolf,1.08,1.08,,beastDrop14,14400,prop_wm_beast02.pod,5600,0.0065,
beast15,15,Ogre-jack,1.09,1.09,,beastDrop15,14400,prop_wm_beast03.pod,6000,0.0065,
beast16,16,Ogre-jack,1.1,1.1,,beastDrop16,14400,prop_wm_beast03.pod,6400,0.0065,
beast17,17,Ogre-jack,1.11,1.11,,beastDrop17,14400,prop_wm_beast03.pod,6800,0.0065,
beast18,18,Ogre-jack,1.12,1.12,,beastDrop18,14400,prop_wm_beast03.pod,7200,0.0065,
beast19,19,Ogre-jack,1.13,1.13,,beastDrop19,14400,prop_wm_beast03.pod,7600,0.0065,
beast20,20,Ogre-jack,1.14,1.14,,beastDrop20,14400,prop_wm_beast03.pod,8000,0.0065,
beast21,21,Ogre-jack,1.15,1.15,,beastDrop21,14400,prop_wm_beast03.pod,8400,0.0065,
beast22,22,Armling,1.16,1.16,,beastDrop22,14400,prop_wm_beast04.pod,8800,0.0075,
beast23,23,Armling,1.17,1.17,,beastDrop23,14400,prop_wm_beast04.pod,9200,0.0075,
beast24,24,Armling,1.18,1.18,,beastDrop24,14400,prop_wm_beast04.pod,9600,0.0075,
beast25,25,Armling,1.19,1.19,,beastDrop25,14400,prop_wm_beast04.pod,10400,0.0075,
beast26,26,Armling,1.2,1.2,,beastDrop26,14400,prop_wm_beast04.pod,11200,0.0075,
beast27,27,Armling,1.21,1.21,,beastDrop27,14400,prop_wm_beast04.pod,12000,0.0075,
beast28,28,Armling,1.22,1.22,,beastDrop28,14400,prop_wm_beast04.pod,12800,0.0075,
beast29,29,Minogator,1.23,1.23,,beastDrop29,14400,prop_wm_beast05.pod,13600,0.0085,
beast30,30,Minogator,1.24,1.24,,beastDrop30,14400,prop_wm_beast05.pod,14400,0.0085,
beast31,31,Minogator,1.25,1.25,,beastDrop31,14400,prop_wm_beast05.pod,15200,0.0085,
beast32,32,Minogator,1.26,1.26,,beastDrop32,14400,prop_wm_beast05.pod,16800,0.0085,
beast33,33,Minogator,1.27,1.27,,beastDrop33,14400,prop_wm_beast05.pod,18400,0.0085,
beast34,34,Minogator,1.28,1.28,,beastDrop34,14400,prop_wm_beast05.pod,20000,0.0085,
beast35,35,Minogator,1.29,1.29,,beastDrop35,14400,prop_wm_beast05.pod,21600,0.0085,!@#ippkofjblbcecpii
