key,value,localizedValue,h
String,String,LocalizedString,String
confirmationTitle,,Confirmation Required,
swapWithRubyReasonResearchDrake,,research this Primarch,
swapWithRubyReasonTrainDrake,,train this Primarch,
buyWithDiamondText,,Would you like to spend %@ diamonds to get the missing %@ to %@?,
goldAndXp,,gold and xp,
gold,,gold,
xp,,xp,
swapWithRubyReasonUnlockSlot,,unlock a slot for another Primarch,
serverWaitingSummon,,summoning...,
serverWaitingTrain,,start training...,
serverWaitingExpediteSummon,,saving...,
serverWaitingExpediteTrain,,saving...,
serverWaitingExpediteTroop,,saving...,
serverWaitingFinishTroop,,start finishing troops...,
serverWaitingBuyTroop,,start buying troops...,
serverWaitingSpeedupDrake,,Speeding Up Primarch...,
serverWaitingUnlock,,start unlocking...,
serverErrorString,,Request to server failed! Try again in 30 seconds.,
speedupCurrency,sailFaster,,
speedupCountLabelText,,%ldx Speed,
minUnlockedNoManLandRegionId,900,,
maxUnlockedNoManLandRegionId,910,,
tutorialDefaultTrainTroopAmount,1,,
generalFreeExpediteTime,60,,
atlasQuestIcon,icon_hud_quest.png,,
superRegionAlpha,0,,
allianceTab0CreateIcon,icon_handshake.png,,
allianceTab0ManageIcon,icon_handshake.png,,
allianceTab1Icon,icon_search.png,,
allianceTab2Icon,icon_edit.png,,
allianceTab3Icon,icon_applicants.png,,
cannotFlyTitle,Cannot Fly Here,,
hatRegenerationMultiplierInfoPopupTitle,,Farmer Regeneration Rate,
hatRegenerationMultiplierInfoPopupMessage,,"Current Regeneration Rate: +%.f/h
Your Farmer regeneration rate has been increased by %.f/h!
The boost will expire in %@",
worldmapQuestClaimText,,CLAIM!,
worldmapQuestTitleFormat,worldmap_quest_title_%@,,
teamRegionSprite,icon_navigation.png,,
teamCapitalSprite,icon_flag_star.png,,
mineBonusInfoPopupTitle,,Gold Bonus Breakdown,
poacherBonusInfoPopupTitle,,Crafting Shard Bonus Breakdown,
beastIconIdentifier,beastIcon,,
beastRadialNameStringPrefix,,Level %ld,
cameraMinFocusPosition,-1400~0~-415,,
cameraMaxFocusPosition,490~0~910,,
goToAtlasUseCoordinateTitle,,Go To Coordinates,
goToAtlasUseCoordinateBody,,Are you sure you want to open Atlas?,
primarchSearchDropDownSelection,,Player Level|Primarch Level|Troop Count|Glory Potential,
primarchSearchCameraSuggestionPanAround,,Pan camera to search new areas,
primarchSearchCameraSuggestionZoomIn,,Zoom In To Search Primarchs,
expeditePremiumCurrency,diamond,,!@#inmemfpfbiemeonl
