identifier,inBundle,initialAmount,defaultMinAmount,defaultMaxAmount,isStoredInStorage,menuSortOrder,displaySingular,displayPlural,logEarnings,sceneFile,grayscaleImageFilename,coloredImageFilename,eggFragmentImageFilename,findMoreDisplayText,componentRewardBuildsText,currencyCategory,h
String,Integer,Integer,Integer,Integer,Integer,Integer,LocalizedString,LocalizedString,Integer,String,String,String,String,LocalizedString,String,String,String
experience,0,0,0,0,0,0,XP,XP,1,,,icon_xp_01.png,,,,none,
gold,1,0,0,10000000,1,0,Gold,Gold,0,icon_goldCoin.lvl,icon_goldCoin.png,icon_goldCoin.png,,,,Common,
food,1,300,0,5000000,1,0,food,food,1,icon_food.lvl,icon_food_03.png,icon_food_01.png,,,,Common,
dragonSlot,0,7,0,11,0,0,dragon slot,dragon slots,1,,,,,,,Misc,
trophy,1,0,-100000000,100000000,0,0,medal,medals,0,,icon_medal_01.png,icon_medal_02.png,,,,Misc,
piercing,1,300,0,5000000,1,1,lumber,lumber,1,icon_lumber.lvl,icon_component_wood_02.png,icon_component_wood_01.png,,Get more Lumber by destroying Archer & Ballista towers,Archers & Ballistas,Common,
aura,0,5,0,16000,0,4,tome,tomes,1,icon_book.lvl,icon_component_book_02.png,icon_component_book_01.png,,"Get more Scrolls by destroying Mage, Slow and Prism towers","Mage, Slow & Prism",none,
weeklyTrophy,0,0,-100000000,100000000,0,0,medal,medals,0,,icon_medal_01.png,icon_medal_02.png,,,,Misc,
ruby,1,150,-100000000,100000000,0,0,ruby,rubies,1,,icon_medal_01.png,icon_ruby_01.png,,Go to IAP menu to get more rubies,,Common,
blueEggCurrency,0,0,-100000000,100000000,0,0,Blue egg,Blue eggs,1,egg_blue_V1.lvl,,img_egg_blue_01.png,img_egg_blue_01.png,,,Dragon Egg,
greenEggCurrency,0,0,-100000000,100000000,0,0,Green egg,Green eggs,1,egg_green_V1.lvl,,img_egg_green_01.png,img_egg_green_01.png,,,Dragon Egg,
orangeEggCurrency,0,0,-100000000,100000000,0,0,Orange egg,Orange eggs,1,egg_orange_V1.lvl,,img_egg_orange_01.png,img_egg_orange_01.png,,,Dragon Egg,
purpleEggCurrency,0,0,-100000000,100000000,0,0,Purple egg,Purple eggs,1,egg_purple_V1.lvl,,img_egg_purple_01.png,img_egg_purple_01.png,,,Dragon Egg,
redEggCurrency,0,0,-100000000,100000000,0,0,Red egg,Red eggs,1,egg_red_V1.lvl,,img_egg_red_01.png,img_egg_red_01.png,,,Dragon Egg,
tealEggCurrency,0,0,-100000000,100000000,0,0,Teal egg,Teal eggs,1,egg_teal_base01.lvl,,img_egg_teal_01.png,img_egg_teal_01.png,,,Dragon Egg,
