identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,shotsPerAttack,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityEffectDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,showcaseIsTrackingTarget,inRangeCompoundParticleEffectIdentifier,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,Integer,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,Integer,String,String,Float,Float,Integer,Integer,String,String,String,String,String,String,String,String,Float,Float,Float,Integer,Integer,String,Integer,String,LocalizedString,LocalizedString,Integer,String,String,Integer,String
IceTurretBossNDEUpgrades_1,1,0,bld_iceTurret_level01.lvl,stru_tower_lobLocators.lvl,iceShard:100,990,,,13982,1.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,88,516,0,0,,,component:0.2,piercing:2,experience:28,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield1|showBattleText:iceShieldText,1.5,1,2,1,90,bld_turret_death.lvl,1,Bone_turret,Ice Shield,,0,,,20,
IceTurretBossNDEUpgrades_2,2,0,bld_iceTurret_level02.lvl,stru_tower_lobLocators.lvl,piercing:145,3510,,2,17286,1.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,122,717,0,0,,,component:0.2,piercing:1,experience:98,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield2|showBattleText:iceShieldText,1.5,1,2,1,90,bld_turret_death.lvl,1,Bone_turret,Ice Shield,,0,,,37,
IceTurretBossNDEUpgrades_3,3,0,bld_iceTurret_level02.lvl,stru_tower_lobLocators.lvl,iceShard:200,7200,,3,20522,1.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,172,1011,0,0,,,component:0.2,piercing:1,experience:225,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield3|showBattleText:iceShieldText,1.5,1,2,1,90,bld_turret_death.lvl,1,Bone_turret,Ice Shield,,1,,,60,
IceTurretBossNDEUpgrades_4,4,0,bld_iceTurret_level03.lvl,stru_tower_lobLocators.lvl,piercing:861,10800,,4,23964,1.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,234,1373,0,0,,,component:0.195,piercing:2,experience:383,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield4|showBattleText:iceShieldText,1.5,1,2,1,90,bld_turret_death.lvl,1,Bone_turret,Ice Shield,,1,,,88,
IceTurretBossNDEUpgrades_5,5,0,bld_iceTurret_level03.lvl,stru_tower_lobLocators.lvl,iceShard:300,16200,,5,28510,1.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,318,1868,0,0,,,component:0.19,piercing:3,experience:428,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield5|showBattleText:iceShieldText,1.5,1,2,1,90,bld_turret_death.lvl,1,Bone_turret,Ice Shield,,1,,,138,
IceTurretBossNDEUpgrades_6,6,0,bld_iceTurret_level03.lvl,stru_tower_lobLocators.lvl,piercing:1894,21600,,6,33768,1.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,431,2531,0,0,,,component:0.185,piercing:5,experience:600,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield6|showBattleText:iceShieldText,1.5,1,2,1,90,bld_turret_death.lvl,1,Bone_turret,Ice Shield,,2,,,219,
IceTurretBossNDEUpgrades_7,7,0,bld_iceTurret_level04.lvl,stru_tower_lobLocators.lvl,iceShard:400,28800,,7,39784,1.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,582,3417,0,0,,,component:0.18,piercing:8,experience:750,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield7|showBattleText:iceShieldText,1.5,1,2,1,90,bld_turret_death.lvl,1,Bone_turret,Ice Shield,,2,,,362,
IceTurretBossNDEUpgrades_8,8,0,bld_iceTurret_level04.lvl,stru_tower_lobLocators.lvl,piercing:3714,36000,,8,46628,1.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,783,4597,0,0,,,component:0.175,piercing:16,experience:750,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield8|showBattleText:iceShieldText,1.5,1,2,1,90,bld_turret_death.lvl,1,Bone_turret,Ice Shield,,3,,,581,
IceTurretBossNDEUpgrades_9,9,0,bld_iceTurret_level04.lvl,stru_tower_lobLocators.lvl,iceShard:500,43200,,9,54370,1.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,927,5437,0,0,,,component:0.165,piercing:44,experience:924,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield9|showBattleText:iceShieldText,1.5,1,2,1,90,bld_turret_death.lvl,1,Bone_turret,Ice Shield,,3,,,782,
IceTurretBossNDEUpgrades_10,10,0,bld_iceTurret_level04.lvl,stru_tower_lobLocators.lvl,piercing:8712,57600,,10,61074,1.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,1041,6107,0,0,,,component:0.155,piercing:79,experience:1264,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield10|showBattleText:iceShieldText,1.5,1,2,1,90,bld_turret_death.lvl,1,Bone_turret,Ice Shield,,3,,,1009,
