identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,sceneFile,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String,String
phasmosSapphireDragon_1,1,food:16979,1,,107072,7442,lockon:T4C3SUdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1,7205,food:103,4.2,rage3,6,23263,1,experience:0,3569,6,4,6,drg_ghost.lvl,
phasmosSapphireDragon_2,2,food:24970,1,,139462,11120,lockon:T4C3SUdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1,9449,food:128,4.2,rage3,7,45333,1,experience:0,8124,6,4,6,drg_ghost.lvl,
phasmosSapphireDragon_3,3,food:44168,1,,206230,15840,lockon:T4C3SUdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1,11836,food:160,4.2,rage3,8,95783,1,experience:0,19576,6,4,6,drg_ghost.lvl,
phasmosSapphireDragon_4,4,food:79536,1,,238546,15840,lockon:T4C3SUdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1,13989,food:200,4.2,rage3,9,184501,1,experience:0,26769,6,4,6,drg_ghost.lvl,
phasmosSapphireDragon_5,5,food:95000,1,,308561,15840,lockon:T4C3SUdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1,17911,food:260,4.2,rage3,11,224000,1,experience:0,44323,6,4,6,drg_ghost.lvl,
phasmosSapphireDragon_6,6,branch4GreenStone:1,1,have2GreenEpic,358821,17280,lockon:T5C3SDdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1,20769,food:330,4.2,rage3,12,223834,1,experience:0,50613,11,5,6,drg_ghost_level2.lvl,
phasmosSapphireDragon_7,7,food:110376,1,,435976,17280,lockon:T5C3SDdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1,25236,food:384,4.2,rage3,13,271862,1,experience:0,74733,11,5,6,drg_ghost_level2.lvl,
phasmosSapphireDragon_8,8,food:115632,1,,587928,17280,lockon:T5C3SDdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1,29561,food:438,4.2,rage3,15,329844,1,experience:0,118009,11,5,6,drg_ghost_level2.lvl,
phasmosSapphireDragon_9,9,food:140000,1,,657997,17280,lockon:T5C3SDdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,33442,food:492,4.2,rage3,16,530981,1,experience:0,149460,11,5,6,drg_ghost_level2.lvl,
phasmosSapphireDragon_10,10,food:150000,1,,777088,17280,lockon:T5C3SDdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,39360,food:546,4.2,rage3,18,786440,1,experience:0,207747,11,5,6,drg_ghost_level2.lvl,
phasmosSapphireDragon_11,11,branch4GoldStone:1,1,haveGoldLegendary,940396,17280,lockon:T6C3SDdragon_lockon,freezeSpell:iceShock1|fluxSpell:flux1|cloak:cloak1|iceTurretResist01:iceTurretResist01,47633,food:600,4.2,rage3,18,825000,1,experience:0,304232,16,6,6,drg_ghost_level3.lvl,
