identifier,level,towerConstructionCost,towerConstructionTime,h
String,Integer,Integer,Integer,String
level1,1,100,100,
level2,2,100,100,
level3,3,100,100,
level4,4,100,100,
level5,5,100,100,
level6,6,100,100,
level7,7,100,100,
level8,8,100,100,
level9,9,100,100,
level10,10,100,100,
level11,11,100,100,
level12,12,100,100,
level13,13,100,100,
level14,14,100,100,
level15,15,100,100,
level16,16,100,100,
level17,17,100,100,
level18,18,100,100,
level19,19,100,100,
level20,20,100,100,
level21,21,100,100,
level22,22,100,100,
level23,23,100,100,
level24,24,100,100,
level25,25,100,100,
level26,26,100,100,
level27,27,100,100,
level28,28,100,100,
level29,29,100,100,
level30,30,100,100,
level31,31,100,100,
level32,32,100,100,
level33,33,100,100,
level34,34,100,100,
level35,35,100,100,
level36,36,100,100,
level37,37,100,100,
level38,38,100,100,
level39,39,100,100,
level40,40,100,100,
level41,41,70,70,
level42,42,70,70,
level43,43,70,70,
level44,44,65,65,
level45,45,60,60,
level46,46,60,60,
level47,47,60,60,
level48,48,60,60,
level49,49,60,60,
level50,50,60,60,
level51,51,70,70,
level52,52,70,70,
level53,53,70,70,
level54,54,70,70,
level55,55,70,70,
level56,56,60,60,
level57,57,60,60,
level58,58,60,60,
level59,59,60,60,
level60,60,60,60,
level61,61,60,60,
level62,62,60,60,
level63,63,60,60,
level64,64,60,60,
level65,65,60,60,
level66,66,85,85,
level67,67,85,85,
level68,68,85,85,
level69,69,85,85,
level70,70,85,85,
level71,71,85,85,
level72,72,85,85,
level73,73,85,85,
level74,74,85,85,
level75,75,85,85,
level76,76,100,100,
level77,77,100,100,
level78,78,100,100,
level79,79,100,100,
level80,80,100,100,
level81,81,100,100,
level82,82,100,100,
level83,83,100,100,
level84,84,100,100,
level85,85,100,100,
level86,86,100,100,
level87,87,100,100,
level88,88,100,100,
level89,89,100,100,
level90,90,100,100,
level91,91,100,100,
level92,92,100,100,
level93,93,100,100,
level94,94,100,100,
level95,95,100,100,!@#knddnapfkipffceb
