identifier,requirementClassString,requirementAmount,category,subCategory,compareOperatorString,h
String,String,Integer,String,String,String,String
almostDieRequirement,BattleDragonStateRequirement,5,healthRatio,,<,
poisonBuildingsMoreThanTwoRequirement,BattleBuildingsToAttackRequirement,2,buildingCountOfCertainType,ballista,>,
projectileBuildingsMoreThanTwoRequirement,BattleBuildingsToAttackRequirement,2,buildingCountOfCertainType,archerTower|ballista|cannonTower|trebuchet|fireTurret,>,
lightningBuildingsMoreThanTwoRequirement,BattleBuildingsToAttackRequirement,2,buildingCountOfCertainType,lightningTower,>,
protectBuildingsMoreThanOneRequirement,BattleBuildingsToAttackRequirement,1,buildingCountOfCertainType,stormTower|iceTurret,>,
buildingsMoreThanTwoRequirement,BattleBuildingsToAttackRequirement,2,buildingCountOfCertainType,archerTower|ballista|cannonTower|trebuchet|fireTurret|stormTower|iceTurret|lightningTower|mageTower|mageBlueTower,>,
redMageTowerMoreThanOneRequirement,BattleBuildingsToAttackRequirement,1,buildingCountOfCertainType,mageTower,>,
blueMageTowerMoreThanOneRequirement,BattleBuildingsToAttackRequirement,1,buildingCountOfCertainType,mageBlueTower,>,
willBeAttackedByBuildingsRequirement,BattleBuildingsToAttackRequirement,1,buildingPowerAmount,,>,
hasFluxSpellRequirement,BattleDragonStateRequirement,1,hasSpell,fluxSpell,>,
doesntHaveRedSpellRequirement,BattleDragonStateRequirement,1,doesntHaveSpellType,red,<,!@#ghcpodfkneiphmpd
