identifier,inBundle,name,descriptionText,iconFilename,boostingSceneFilename,previewIconFilename,targetType,durationInMinutes,damageIncreasePercent,salvagePrice,sortPriority,h
String,Integer,LocalizedString,LocalizedString,String,String,String,String,Integer,Integer,Integer,Integer,String
increaseAttack1,1,+30% Dragon Atk,Attacking dragon does 30% more damage per shot,icon_boost_dragon_attack_01.png,,,dragon,,30,10,26,
increaseBuildingAttack1,1,+30% Tower Atk,Towers do 30% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,360,30,7,26,
increaseBuildingAttack3,1,+3% Tower Atk,Towers do 3% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,3,8,29,
increaseBuildingAttack4,1,+4% Tower Atk,Towers do 4% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,4,10,28,
increaseBuildingAttack5,1,+5% Tower Atk,Towers do 5% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,5,10,28,
increaseBuildingAttack6,1,+6% Tower Atk,Towers do 6% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,6,10,28,
increaseBuildingAttack7,1,+7% Tower Atk,Towers do 7% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,7,10,28,
increaseBuildingAttack10,1,+10% Tower Atk,Towers do 10% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,10,11,28,
increaseBuildingAttack20,1,+20% Tower Atk,Towers do 20% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,20,11,28,
increaseBuildingAttack30,1,+30% Tower Atk,Towers do 30% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,30,11,28,
increaseBuildingAttack35,1,+35% Tower Atk,Towers do 35% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,35,11,28,
increaseBuildingAttack40,1,+40% Tower Atk,Towers do 40% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,40,11,28,
increaseBuildingAttack45,1,+45% Tower Atk,Towers do 45% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,45,11,28,
increaseBuildingAttack50,1,+50% Tower Atk,Towers do 50% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,50,11,28,
increaseBuildingAttack55,1,+55% Tower Atk,Towers do 55% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,55,11,28,
increaseBuildingAttack60,1,+60% Tower Atk,Towers do 60% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,60,11,28,
increaseBuildingAttack65,1,+65% Tower Atk,Towers do 65% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,65,11,28,
increaseBuildingAttack70,1,+70% Tower Atk,Towers do 70% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,70,11,28,
increaseBuildingAttack80,1,+80% Tower Atk,Towers do 80% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,80,11,28,
increaseBuildingAttack90,1,+90% Tower Atk,Towers do 90% more damage per shot,icon_boost_attack_07.png,icon_sword.lvl,icon_monument_attackBoost.png,building,0,90,11,28,
