identifier,buildingAttackType,dragonClass,buildingCategory,descriptionFormat,buffClassString,buffDisplayName,isRestrictedToDragon,h
String,String,String,String,LocalizedString,String,LocalizedString,String,String
dragonHPModifier,,,,%+.1f%% Dragon HP,BuffOnDragon,Dragon HP,0,
dragonAttackModifier,,,,%+.1f%% Dragon Attack,BuffOnDragon,Dragon Attack,0,
buildingHPModifier_woodFarm,,,woodFarm,%+.1f%% Lumber Mill HP,BattleBuffOnBase,Lumber Mill HP,0,
buildingHPModifier_hogFarm,,,hogFarm,%+.1f%% Sheep Farm,BattleBuffOnBase,Sheep Farm,0,
buildingHPModifier_archerTower,,,archerTower,%+.1f%% Archer HP,BattleBuffOnBase,Archer HP,0,
buildingAttackModifier_archerTower,,,archerTower,%+.1f%% Archer Attack,BattleBuffOnBase,Archer Attack,0,
buildingHPModifier_cannonTower,,,cannonTower,%+.1f%% Cannon HP,BattleBuffOnBase,Cannon HP,0,
buildingAttackModifier_cannonTower,,,cannonTower,%+.1f%% Cannon Attack,BattleBuffOnBase,Cannon Attack,0,
buildingHPModifier_stormTower,,,stormTower,%+.1f%% Storm HP,BattleBuffOnBase,Storm HP,0,
buildingAttackModifier_stormTower,,,stormTower,%+.1f%% Storm Attack,BattleBuffOnBase,Storm Attack,0,
buildingHPModifier_ballista,,,ballista,%+.1f%% Ballista HP,BattleBuffOnBase,Ballista HP,0,
buildingAttackModifier_ballista,,,ballista,%+.1f%% Ballista Attack,BattleBuffOnBase,Ballista Attack,0,
buildingHPModifier_mageTower,,,mageTower,%+.1f%% Red Mage Tower HP,BattleBuffOnBase,Red Mage Tower HP,0,
buildingAttackModifier_mageTower,,,mageTower,%+.1f%% Red Mage Tower Attack,BattleBuffOnBase,Red Mage Tower Attack,0,
buildingHPModifier_mageBlueTower,,,mageBlueTower,%+.1f%% Blue Mage Tower HP,BattleBuffOnBase,Blue Mage Tower HP,0,
buildingAttackModifier_mageBlueTower,,,mageBlueTower,%+.1f%% Blue Mage Tower Attack,BattleBuffOnBase,Blue Mage Tower Attack,0,
buildingHPModifier_trebuchet,,,trebuchet,%+.1f%% Trebuchet HP,BattleBuffOnBase,Trebuchet HP,0,
buildingAttackModifier_trebuchet,,,trebuchet,%+.1f%% Trebuchet Attack,BattleBuffOnBase,Trebuchet Attack,0,
buildingHPModifier_lightningTower,,,lightningTower,%+.1f%% Lightning Tower HP,BattleBuffOnBase,Lightning Tower HP,0,
buildingAttackModifier_lightningTower,,,lightningTower,%+.1f%% Lightning Tower Attack,BattleBuffOnBase,Lightning Tower Attack,0,
buildingHPModifier_fireTurret,,,fireTurret,%+.1f%% Fire Turret HP,BattleBuffOnBase,Fire Turret HP,0,
buildingAttackModifier_fireTurret,,,fireTurret,%+.1f%% Fire Turret Attack,BattleBuffOnBase,Fire Turret Attack,0,
buildingHPModifier_iceTurret,,,iceTurret,%+.1f%% Ice Turret HP,BattleBuffOnBase,Ice Turret HP,0,
buildingAttackModifier_iceTurret,,,iceTurret,%+.1f%% Ice Turret Attack,BattleBuffOnBase,Ice Turret Attack,0,
buildingProductionModifier_hogFarm,,,hogFarm,%+.1f%% Sheep Farm Production,BuildBuffOnBase,Sheep Farm Production,0,
buildingProductionModifier_woodFarm,,,woodFarm,%+.1f%% Lumber Mill Production,BuildBuffOnBase,Lumber Mill Production,0,
buildingHPModifier_elementalFlakDark,,,elementalFlakDark,%+.1f%% Dark Flak Tower HP,BattleBuffOnBase,Dark Flak Tower HP,0,
buildingAttackModifier_elementalFlakDark,,,elementalFlakDark,%+.1f%% Dark Flak Tower Attack,BattleBuffOnBase,Dark Flak Tower Attack,0,
buildingAttackModifier,,,,%+.1f%% Building Attack,BattleBuffOnBase,Building Attack,0,
buildingHPModifier,,,,%+.1f%% Building HP,BattleBuffOnBase,Building HP,0,
