identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,auraRange,auraAffectsSelf,auraIdentifier,enemyAuraEffects,friendlyAuraEffects,finalDestructionDamage,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityCost,activeAbilityRange,explosionSceneFile,bonusLabel1,bonusLabel2,specialAttackPower,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,Integer,String,String,String,Integer,String,Integer,Float,Integer,Integer,String,String,String,Integer,String,String,String,String,String,String,Float,Integer,Integer,String,String,String,Float,Integer,String,String,Integer,String
SmokeAuraUpgrades_1,1,0,bld_prismtower_level01.lvl,stru_tower_lobLocators.lvl,piercing:12,990,,1,6991,35,0,smoke_aura,smoke:smokeEnemy,smoke:smokeFriendly,0,,,experience:28,,,createBuilding:createBuilding1,1.5,1,90,bld_prismtower_level01_death.lvl,Decoy Shield,,1320,0,,,15,
SmokeAuraUpgrades_2,2,0,bld_prismtower_level01.lvl,stru_tower_lobLocators.lvl,piercing:208,3510,,1,8643,35,0,smoke_aura,smoke:smokeEnemy,smoke:smokeFriendly,0,,,experience:98,,,createBuilding:createBuilding2,1.5,1,90,bld_prismtower_level01_death.lvl,Decoy Shield,,1833,0,,,28,
SmokeAuraUpgrades_3,3,0,bld_prismtower_level01.lvl,stru_tower_lobLocators.lvl,piercing:463,7200,,1,10261,35,0,smoke_aura,smoke:smokeEnemy,smoke:smokeFriendly,0,,,experience:225,,,createBuilding:createBuilding3,1.5,1,90,bld_prismtower_level01_death.lvl,Decoy Shield,,2583,1,,,45,
SmokeAuraUpgrades_4,4,0,bld_prismtower_level01.lvl,stru_tower_lobLocators.lvl,piercing:861,10800,,1,11982,35,0,smoke_aura,smoke:smokeEnemy,smoke:smokeFriendly,0,,,experience:383,,,createBuilding:createBuilding4,1.5,1,90,bld_prismtower_level01_death.lvl,Decoy Shield,,3510,1,,,66,
SmokeAuraUpgrades_5,5,0,bld_prismtower_level01.lvl,stru_tower_lobLocators.lvl,piercing:1463,16200,,1,14255,35,0,smoke_aura,smoke:smokeEnemy,smoke:smokeFriendly,0,,,experience:428,,,createBuilding:createBuilding5,1.5,1,90,bld_prismtower_level01_death.lvl,Decoy Shield,,4773,1,,,104,
SmokeAuraUpgrades_6,6,0,bld_prismtower_level01.lvl,stru_tower_lobLocators.lvl,piercing:1894,21600,,1,16884,35,0,smoke_aura,smoke:smokeEnemy,smoke:smokeFriendly,0,,,experience:600,,,createBuilding:createBuilding6,1.5,1,90,bld_prismtower_level01_death.lvl,Decoy Shield,,6469,2,,,165,
SmokeAuraUpgrades_7,7,0,bld_prismtower_level01.lvl,stru_tower_lobLocators.lvl,piercing:2698,28800,,1,19892,35,0,smoke_aura,smoke:smokeEnemy,smoke:smokeFriendly,0,,,experience:750,,,createBuilding:createBuilding7,1.5,1,90,bld_prismtower_level01_death.lvl,Decoy Shield,,8736,2,,,272,
SmokeAuraUpgrades_8,8,0,bld_prismtower_level01.lvl,stru_tower_lobLocators.lvl,piercing:3714,36000,,1,23314,35,0,smoke_aura,smoke:smokeEnemy,smoke:smokeFriendly,0,,,experience:750,,,createBuilding:createBuilding8,1.5,1,90,bld_prismtower_level01_death.lvl,Decoy Shield,,11751,3,,,437,
SmokeAuraUpgrades_9,9,0,bld_prismtower_level01.lvl,stru_tower_lobLocators.lvl,piercing:5703,43200,,1,27185,35,0,smoke_aura,smoke:smokeEnemy,smoke:smokeFriendly,0,,,experience:924,,,createBuilding:createBuilding9,1.5,1,90,bld_prismtower_level01_death.lvl,Decoy Shield,,13903,3,,,588,
SmokeAuraUpgrades_10,10,0,bld_prismtower_level01.lvl,stru_tower_lobLocators.lvl,piercing:8712,57600,,1,30537,35,0,smoke_aura,smoke:smokeEnemy,smoke:smokeFriendly,0,,,experience:1264,,,createBuilding:createBuilding10,1.5,1,90,bld_prismtower_level01_death.lvl,Decoy Shield,,15616,3,,,759,
SmokeAuraUpgrades_11,11,0,bld_prismtower_level01.lvl,stru_tower_lobLocators.lvl,piercing:12869,72000,,1,34165,35,0,smoke_aura,smoke:smokeEnemy,smoke:smokeFriendly,0,,,experience:1298,,,createBuilding:createBuilding11,1.5,1,90,bld_prismtower_level01_death.lvl,Decoy Shield,,17469,4,,,925,
SmokeAuraUpgrades_12,12,0,bld_prismtower_level01.lvl,stru_tower_lobLocators.lvl,piercing:17819,86400,,1,38072,35,0,smoke_aura,smoke:smokeEnemy,smoke:smokeFriendly,0,,,experience:1667,,,createBuilding:createBuilding12,1.5,1,90,bld_prismtower_level01_death.lvl,Decoy Shield,,19463,4,,,1161,
SmokeAuraUpgrades_13,13,0,bld_prismtower_level01.lvl,stru_tower_lobLocators.lvl,piercing:26927,129600,,1,42382,35,0,smoke_aura,smoke:smokeEnemy,smoke:smokeFriendly,0,,,experience:2058,,,createBuilding:createBuilding13,1.5,1,90,bld_prismtower_level01_death.lvl,Decoy Shield,,21664,5,,,1450,
SmokeAuraUpgrades_14,14,0,bld_prismtower_level01.lvl,stru_tower_lobLocators.lvl,piercing:38115,172800,,1,47181,35,0,smoke_aura,smoke:smokeEnemy,smoke:smokeFriendly,0,,,experience:2118,,,createBuilding:createBuilding14,1.5,1,90,bld_prismtower_level01_death.lvl,Decoy Shield,,24114,5,,,1798,
SmokeAuraUpgrades_15,15,0,bld_prismtower_level01.lvl,stru_tower_lobLocators.lvl,piercing:51677,216000,,1,52525,35,0,smoke_aura,smoke:smokeEnemy,smoke:smokeFriendly,0,,,experience:2546,,,createBuilding:createBuilding15,1.5,1,90,bld_prismtower_level01_death.lvl,Decoy Shield,,26841,6,,,2211,
SmokeAuraUpgrades_16,16,0,bld_prismtower_level01.lvl,stru_tower_lobLocators.lvl,piercing:57617,259200,,1,58473,35,0,smoke_aura,smoke:smokeEnemy,smoke:smokeFriendly,0,,,experience:3000,,,createBuilding:createBuilding15,1.5,1,90,bld_prismtower_level01_death.lvl,Decoy Shield,,29877,6,,,2730,
SmokeAuraUpgrades_17,17,0,bld_prismtower_level01.lvl,stru_tower_lobLocators.lvl,piercing:77039,302400,,1,65095,35,0,smoke_aura,smoke:smokeEnemy,smoke:smokeFriendly,0,,,experience:3097,,,createBuilding:createBuilding15,1.5,1,90,bld_prismtower_level01_death.lvl,Decoy Shield,,33261,7,,,3404,
SmokeAuraUpgrades_18,18,0,bld_prismtower_level01.lvl,stru_tower_lobLocators.lvl,piercing:86400,345600,,1,72467,35,0,smoke_aura,smoke:smokeEnemy,smoke:smokeFriendly,0,,,experience:4000,,,createBuilding:createBuilding15,1.5,1,90,bld_prismtower_level01_death.lvl,Decoy Shield,,37027,8,,,4212,
SmokeAuraUpgrades_19,19,0,bld_prismtower_level01.lvl,stru_tower_lobLocators.lvl,piercing:129598,388800,,1,85121,35,0,smoke_aura,smoke:smokeEnemy,smoke:smokeFriendly,0,,,experience:5334,,,createBuilding:createBuilding15,1.5,1,90,bld_prismtower_level01_death.lvl,Decoy Shield,,43489,9,,,5796,
SmokeAuraUpgrades_20,20,0,bld_prismtower_level01.lvl,stru_tower_lobLocators.lvl,piercing:154799,432000,,1,99983,35,0,smoke_aura,smoke:smokeEnemy,smoke:smokeFriendly,0,,,experience:7000,,,createBuilding:createBuilding15,1.5,1,90,bld_prismtower_level01_death.lvl,Decoy Shield,,51078,10,,,8010,
SmokeAuraUpgrades_21,21,0,bld_prismtower_level01.lvl,stru_tower_lobLocators.lvl,piercing:187199,518400,,1,117442,35,0,smoke_aura,smoke:smokeEnemy,smoke:smokeFriendly,0,,,experience:9143,,,createBuilding:createBuilding15,1.5,1,90,bld_prismtower_level01_death.lvl,Decoy Shield,,59993,11,,,11040,
