identifier,objectType,level,expansionArea,maxLoot,h
String,String,Integer,String,String,String
bld01,stable,1,expansion_057,,
bld02,breedingGround,1,expansion_058,,
bld03,research,1,expansion_059,,
bld04,storage,1,expansion_060,,
bld05,incubator,1,expansion_061,,
bld06,builder,1,expansion_062,,
bld07,guild,1,expansion_064,,
bld08,forge,1,expansion_065,,
bld09,archerTowerTutorial,7,expansion_004,,
bld10,cannonTowerTutorial,7,expansion_005,,
bld11,archerTowerTutorial,7,expansion_007,,
bld12,lightningTowerTutorial,2,expansion_006,,
bld13,archerTowerTutorial,7,expansion_011,,
bld14,archerTowerTutorial,7,expansion_012,,
bld15,cannonTowerTutorial,7,expansion_013,,
bld16,lightningTowerTutorial,2,expansion_010,,
bld17,archerTowerTutorial,7,expansion_018,,
bld18,cannonTowerTutorial,7,expansion_016,,
bld19,lightningTowerTutorial,2,expansion_017,,
bld20,temple,1,DITM_island06,,
bld21,lighthouse,1,DITM_island03,,
bld22,waterGate,1,DITM_island04,,
bld23,library,1,DITM_island05,,
bld24,statues,1,DITM_island02,,
bld25,mountDragon,1,DITM_island07,,
bld26,tripleTowers,1,DITM_island08,,!@#halceijpiibbfdge
