identifier,displayName,startingValue,h
String,LocalizedString,Float,String
range,Range,50,
damage,Damage,150,
duration,Duration (s),4,
attackBonusPercentage,Bonus (%),100,
attackBonusDuration,Duration (s),4,
maxTimes,Count,1,
numShots,Shots,1,
speedBonusDuration,Duration (s),4,
distance,Distance,20,
healBy,Health Restored,100,
curePoisonAmount,Removes Poison,10,
percentageIncrease,Rage point Increase,0,
ragePoints,Rage,1,
summonHpPercentage,Summon HP %,5,
healingPercentage,Healing %,0,
explosionDamage,Damage,1000,
healthIncreaseAmountAsPercentageOfMaxHP,Heal Amount,200,
dodgePercentage,% Attacks Evaded,50,
damageReductionPercentage,% Damage Reduced,50,
damagePercentOfMaxHP,% Damage Reduced,50,
explosionDamageAsPercentOfMaxHP,Explosion Damage,20,
healByAsPercentageOfMaxHP,Healing Amount,20,!@#mmjmkgljkpjlkilm
