identifier,objectType,level,expansionArea,maxLoot,h
String,String,Integer,String,String,String
bld01,stable,1,expansion_057,,
bld02,breedingGround,0,expansion_058,,
bld03,research,1,expansion_059,,
bld04,storage,1,expansion_060,,
bld05,incubator,1,expansion_061,,
bld06,builder,1,expansion_062,,
bld07,guild,1,expansion_064,,
bld08,forge,1,expansion_065,,
bld09,archerTowerTutorial,2,expansion_002,,
bld10,cannonTowerTutorial,2,expansion_004,,
bld11,cannonTowerTutorial,2,expansion_006,,
bld12,cannonTowerTutorial,2,expansion_010,,
bld13,archerTowerTutorial,2,expansion_012,,
bld14,archerTowerTutorial,2,expansion_013,,
bld15,hogFarm,1,expansion_016,food:5,
bld16,temple,1,DITM_island06,,
bld17,lighthouse,1,DITM_island03,,
bld18,waterGate,1,DITM_island04,,
bld19,library,1,DITM_island05,,
bld20,statues,1,DITM_island02,,
bld21,mountDragon,1,DITM_island07,,
bld22,tripleTowers,1,DITM_island08,,!@#jkafmbnoecdbgmib
