identifier,inBundle,name,descriptionText,iconFilename,boostingSceneFilename,targetType,durationInMinutes,spellIdentifier,spellKey,salvagePrice,sortPriority,h
String,Integer,LocalizedString,LocalizedString,String,String,String,Integer,String,String,Integer,Integer,String
aoeSpellConsumable01,1,Fireball,Deals damage to all buildings in the affected area,icon_AOE_01.png,,spell,,aoeCon,aoeSpell,20,42,
battlecrySpellConsumable01,1,Battle Cry,Increase the damage of this and the next dragon to attack,icon_battlecry_01.png,,spell,,battlecryCon,battlecry,14,42,
chainLightningSpellConsumable01,1,Chain Lightning,Strikes buildings with lightning that chains randomly,icon_chainlightning_01.png,,spell,,chainLightningCon,chainLightning,14,42,
chargeShieldSpellConsumable01,1,Explosive Shield,"Absorbs damage until depleted, then explodes dealing damage to nearby buildings",icon_chargedshield_01.png,,spell,,chargedShieldCon,chargedShield,14,42,
cloakSpellConsumable01,1,Cloak,Dragon becomes invisible and cannot be targeted until it attacks,icon_invisibility_01.png,,spell,,cloakCon,cloak,14,42,
curePoisonSpellConsumable01,1,Cure Poison,Removes poison,icon_cure_01.png,,spell,,curePoisonCon,curePoison,14,42,
dodgeSpellConsumable01,1,Evasion,Dragon moves quickly over buildings and have a chance to dodge incoming projectiles,icon_dodge_01.png,,spell,,dodgeCon,dodge,14,42,
syphonSpellConsumable01,1,Vampiric Touch,When active gain health and rage on building destruction,icon_syphon_01.png,,spell,,syphonCon,energySyphon,14,42,
freezeSpellConsumable01,1,Freeze,Freezes all buildings in the affected area,icon_freeze_01.png,,spell,,freezeCon,freezeSpell,14,42,
frenzySpellConsumable01,1,Havoc,Dragon deals greatly increased damage with its attacks,icon_frenzy_01.png,,spell,,frenzyCon,frenzySpell,14,42,
healSpellConsumable01,1,Rejuvenate,Restores health over time,icon_heal_01.png,,spell,,healCon,healDragon,14,42,
healingmarkSpellConsumable01,1,Healing Mark,Places a mark on a building that heals the Dragon that destroys it,icon_healingmark_01.png,,spell,,healingMarkCon,healingMark,14,42,
hurricaneSpellConsumable01,1,Wind Wall,Deflects incoming projectiles,icon_windWall_01.png,,spell,,hurricaneCon,hurricane,14,42,
instantKillSpellConsumable01,1,Death Gaze,Dragon's next attack deals enough damage to destroy most buildings instantly,icon_instakill_01.png,,spell,,instantCon,instantKill,20,42,
invertSpellConsumable01,1,Reverse Projectiles,Reflects incoming projectiles back onto the attackers,icon_projectile_01.png,,spell,,invertCon,invertSpell,24,42,
invincibleSpellConsumable01,1,Invincibility Shield,Dragon becomes invincible briefly,icon_invincible_01.png,,spell,,invincibleCon,invincibleSpell,14,42,
selfDestructSpellConsumable01,1,Self Destruct,Dragon self destructs and deals tremendous damage to every tower in the area,icon_self_destruct_01.png,,spell,,selfDestructCon,kamikaze,14,42,
lockdownSpellConsumable01,1,Lockdown,Disables a building until the next time it takes damage,icon_lockdown_01.png,,spell,,lockdownCon,lockdown,14,42,
shortCircuitSpellConsumable01,1,Elemental Mayhem,Causes Lightning and Storm towers to go haywire and attack each other,icon_mayhem_01.png,,spell,,shortCircuitCon,shortCircuit,14,42,
stoneskinSpellConsumable01,1,Stoneskin Shield,Greatly reduces damage taken,icon_stoneskin_01.png,,spell,,stoneskinCon,stoneskin,14,32,
summonDragonSpellConsumable01,1,Summon Warrior,Summons a spectral Warrior Dragon to fight for you,icon_summon_dragon_01.png,,spell,,summonDragonCon,summonAIDragon,14,32,
archerResistAbilityConsumable01,1,Archer Resist,Resists Archer Towers,icon_resist_archer.png,,resist,,archerResist01,resist,20,32,
cannonResistAbilityConsumable01,1,Cannon Resist,Resists Cannon Towers,icon_resist_canon.png,,resist,,cannonResist01,resist,20,32,
stormResistAbilityConsumable01,1,Storm Resist,Resist Storm Towers,icon_resist_wind.png,,resist,,stormResist01,resist,20,32,
ballistaResistAbilityConsumable01,1,Ballista Resist,Resist Ballista Towers,icon_resist_ballista.png,,resist,,ballistaResist01,resist,20,32,
trebuchetResistAbilityConsumable01,1,Trebuchet Resist,Resist Trebuchet Towers,icon_resist_trebuchet.png,,resist,,trebuchetResist01,resist,20,32,
lightningResistAbilityConsumable01,1,Lightning Resist,Resist Lightning Towers,icon_resist_storm.png,,resist,,lightningResist01,resist,20,32,
chainLightningSuperSpellConsumable01,0,Supercharged Lightning,Strikes buildings with super destructive lightning that chains randomly,icon_chainlightning_02.png,,spell,,chainLightningSuperCon,chainLightning,30,32,
chargeShieldSuperSpellConsumable01,0,Shield of Annihilation,"Absorbs huge damage then explodes, massively damaging buildings",icon_chargedshield_02.png,,spell,,chargedShieldSuperCon,chargedShield,30,32,
innerFire01,0,Inner Fire,Become charged with competitive spirit and earn more points in this battle for the event,inner_fire_icon.png,,resist,,innerFire01,resist,42,32,
superHeal,0,Super Heal,Heal your dragon multiple times!,icon_heal_01.png,,spell,,superHeal,healDragon,30,32,
thunderstormSpellConsumable01,0,Super Thunderstorm,Summons a cloud that brings down lighting bolts which does damage over time,icon_thunderstorm_01.png,,spell,,thunderstormCon,thunderstorm,30,32,
superDeathGaze,0,Multi Death Gaze,Destroy up to 4 towers!,icon_instakill_01.png,,spell,,superDeathGaze,instantKill,30,32,
superFreeze,0,Super Freeze,Freezes buildings in a large area AND penetrates Red Mage Towers!,icon_superFreeze_02.png,,spell,,superFreeze,freezeSpell,30,32,
thunderstormSpellConsumable02,0,Thunderstorm,Summons a cloud that brings down lighting bolts which does damage over time,icon_thunderstorm_01.png,,spell,,thunderstormCon2,thunderstorm,20,32,
intimidatingRoarSpellConsumable01,0,Intimidating Roar,Deals damage to buildings nearby and reduces their damage for entire fight,icon_intimidatingRoar_01.png,,spell,,intimidatingRoarCon,intimidatingRoar,20,32,
xpMultiplierSpellConsumable01,0,+100% XP Boost,Increases starting base EXP by 100% (Applied before Elite XP Bonus),icon_xp_boost_01.png,,xpMultiplier,,xpMultiplier01,xpMultiplier,15,32,
xpMultiplierSpellConsumable02,0,+200% XP Boost,Increases starting base EXP by 200% (Applied before Elite XP Bonus),icon_xp_boost_01.png,,xpMultiplier,,xpMultiplier02,xpMultiplier,25,32,!@#fkknaadadldnmihg
