csv,isBattleCritical,h
String,Integer,String
Achievement.csv,0,
AchievementChain.csv,0,
AchievementMainQuest.csv,0,
AchievementStep.csv,0,
AdjustEvents.csv,0,
Advisor.csv,0,
AIDragonAttackPriority.csv,1,
AIDragonParameters.csv,1,
AIDragonScenario.csv,1,
AIDragonScenarioRequirement.csv,1,
AIDragonSpellPriority.csv,1,
AndroidSettings.csv,0,
Arrow.csv,0,
AssortedBundledAsset.csv,0,
AttackType.csv,1,
Audio.csv,1,
AudioEvent.csv,1,
Aura.csv,1,
AttackReducerAura.csv,1,
BoostAura.csv,1,
RangeReducerAura.csv,1,
SpeedReducerAura.csv,1,
SpellProtectionAura.csv,1,
SpellSilencerAura.csv,1,
AvatarPortrait.csv,0,
BattleBuildingGroup.csv,1,
BattleCritical.csv,0,
BattleParameters.csv,1,
BattleText.csv,0,
IndividualBeasts.csv,0,
IndividualBeastsDropDistribution.csv,0,
IndividualBeastsSpawnFormat.csv,0,
TeamBeasts.csv,0,
Boat.csv,0,
BookmarkParameters.csv,0,
Breeder.csv,0,
BreederAchievementStep.csv,0,
BreederParameters.csv,0,
BreederText.csv,0,
Buff.csv,1,
Building.csv,1,
BuildingAttribute.csv,1,
BuildingClass.csv,1,
BuildingLevelBasedDiscounting.csv,0,
BuildingParameters.csv,1,
BuildingReskin.csv,1,
ArcherTowerBossNDEUpgrades.csv,1,
ArcherTowerBossUpgrades.csv,1,
ArcherTowerTutorialUpgrades.csv,1,
ArcherTowerUpgrades.csv,1,
BallistaTowerBossNDEUpgrades.csv,1,
BallistaTowerBossUpgrades.csv,1,
BallistaTowerUpgrades.csv,1,
BoatPoacherGuardUpgrades.csv,1,
BoatPoacherUpgrades.csv,1,
BreederBlimp.csv,0,
BreedingUpgrades.csv,1,
BuilderUpgrades.csv,1,
CannonTowerBossNDEUpgrades.csv,1,
CannonTowerBossUpgrades.csv,1,
CannonTowerTutorialUpgrades.csv,1,
CannonTowerUpgrades.csv,1,
DarkTotemUpgrades.csv,1,
DecoyUpgrades.csv,1,
DragonPerch03BuildingUpgrades.csv,1,
DragonPerch06BuildingUpgrades.csv,1,
DragonPerch08BuildingUpgrades.csv,1,
EarthTotemUpgrades.csv,1,
ElementalFlakUpgradesDark.csv,1,
ElementalFlakUpgradesEarth.csv,1,
ElementalFlakUpgradesFire.csv,1,
ElementalFlakUpgradesIce.csv,1,
ElementalFlakUpgradesWind.csv,1,
FireTotemUpgrades.csv,1,
FireTurretBossNDEUpgrades.csv,1,
FireTurretBossUpgrades.csv,1,
FireTurretUpgrades.csv,1,
ForgeUpgrades.csv,1,
GoldMineUpgrades.csv,1,
GuildUpgrades.csv,1,
HogFarmUpgrades.csv,1,
IceTotemUpgrades.csv,1,
