identifier,auraName,auraEffect,animationKey,particleEffect,inBundle,h
String,LocalizedString,String,String,String,String,String
attackWhelp,Attack,drg_whelp_attack.lvl,fly,,0,
defenseWhelp,Defense,drg_whelp_defense.lvl,fly,,0,
specialWhelp,Special,drg_whelp_special.lvl,fly,,0,
healWhelp,Heal Cloak,drg_whelp_cloak.lvl,fly,vfx_wisp_trail_cloak,0,
summonWhelp,Summoned Dragon,drg_whelp_summon.lvl,fly,vfx_wisp_trail_summon,0,
doubleExplosionWhelp,Double Explosion,drg_whelp_chargedShield.lvl,fly,,0,
archerDamage,Archer Damage,rune_archerDamage.lvl,single,,0,
archerAndBallista,Archer and Ballista,rune_archerAndBallistaProjectile.lvl,dual,,0,
archerNoneDamage,,rune_archerDamage.lvl,single,,0,
monumentLightning,,rune_lightningDamage.lvl,single,,0,
monumentCannon,,rune_cannonDamage.lvl,single,,0,
monumentArcher,,rune_archerDamage.lvl,single,,0,
monumentTrebuchet,,rune_trebuchetDamage.lvl,single,,0,
monumentStorm,,rune_stormUtility.lvl,single,,0,
monumentPoison,,rune_ballistaDamage.lvl,single,,0,
monumentArcane,,rune_redMageUtility.lvl,single,,0,
monumentMystic,,rune_blueMageUtility.lvl,single,,0,
monumentHealing,,rune_farmProtection.lvl,single,,0,
attackRuneLightning,,rune_lightningProjectile.lvl,single,,0,
attackRuneCannon,,rune_cannonProjectile.lvl,single,,0,
attackRuneTrebuchet,,rune_trebuchetProjectile.lvl,single,,0,
attackRuneStorm,,rune_stormProjectile.lvl,single,,0,
attackRunePoison,,rune_ballistaProjectile.lvl,single,,0,
attackRuneArcher,,rune_archerProjectile.lvl,single,,0,
attackWhelpValentine,Attack,drg_whelp_attackValentines.lvl,fly,,0,
defenseWhelpValentine,Defense,drg_whelp_defenseValentines.lvl,fly,,0,
specialWhelpValentine,Special,drg_whelp_specialValentines.lvl,fly,,0,
healWhelpValentine,Heal Cloak,drg_whelp_cloakValentines.lvl,fly,,0,
summonWhelpValentine,Summoned Dragon,drg_whelp_summonValentines.lvl,fly,,0,
doubleExplosionWhelpValentine,Double Explosion,drg_whelp_chargedShieldValentines.lvl,fly,,0,
whelpWispValentines,Valentine Wisp,drg_whelp_wispValentines.lvl,fly,,0,!@#jdmjdnojjaafikim
