identifier,inBundle,imageFilename,text,attackerColorString,defenderColorString,introEffect,showTime,attackerScreenPosition,defenderScreenPosition,h
String,Integer,String,LocalizedString,String,String,String,Float,String,String,String
archerShotText,1,,FLAMING ARROW!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
archerShotShortCircuitedText,1,,LIGHTNING POWERED! 2X DAMAGE!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
ballistaShotText,1,icon_poison_03.png,POISON ARROW!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
cannonShotText,1,,HEAVY EXPLOSIVES!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
lightningShotText,0,icon_electricbolt.png,COMBINED LIGHTNING!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
lightningShotHurricaneText,0,icon_electricbolt.png,HURRICANE BACKFIRED! ULTRA LIGHTNING!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
stormShotText,1,,INVINCIBLE TOWERS!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
trebuchetShotText,1,icon_stun_04.png,STUN DRAGON!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
mageShotText,1,,RAGE GENERATION BLOCKED!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
mageShotRageBreakerText,1,,DRAGON RAGE BROKEN!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
selfDestructShotText,1,icon_self_destruct_01.png,SELF DESTRUCT!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
createBuildingText,1,,DECOY SHIELD!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
repairShotText,0,icon_hammer.png,REPAIR BUILDINGS!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
boostShotText,0,icon_sword.png,BOOST ATTACKS!,238~117~21,238~117~21,none,1.5,,nearBuildings,
curePoisonSpellText,1,icon_cure_01_disabled.png,POISON CURED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
aoeSpellText,1,icon_AOE_01_disabled.png,FIREBALL!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
healSpellText,1,icon_heal_01_disabled.png,HEALING!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
invincibleSpellText,1,icon_invincible_01_disabled.png,SHIELD: INVINCIBLE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
invertSpellText,1,icon_projectile_01_disabled.png,REVERSE PROJECTILES!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
frenzySpellText,1,icon_frenzy_01_disabled.png,DAMAGE MULTIPLIED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
freezeSpellText,1,icon_freeze_01.png,FREEZE!,238~117~21,238~117~21,none,1.5,onDragon,nearBuildings,
hurricaneSpellText,1,icon_hurricane_01_disabled.png,PROJECTILES DEFLECTING!,238~117~21,238~117~21,none,1.5,onDragon,nearBuildings,
shortCircuitSpellText,1,icon_mayhem_01.png,ELEMENTAL MAYHEM!,238~117~21,238~117~21,none,1.5,onDragon,nearBuildings,
teleportSpellText,1,icon_speed_01_disabled.png,TELEPORT,238~117~21,238~117~21,none,1.5,onDragon,leftHUD,
