key,value,localizedValue,h
String,String,LocalizedString,String
maxRiderMissionSlots,3,,
riderMissionStartTime,1519200000,,
riderMissionLengthOfRoundInSeconds,900,,
shouldUseSpriteDeviceModelPrefixList,SM-N915|SM-N950|SM-G965,,
riderMissionBonusIcon,icon_medal_01.png,,
riderMissionBonusDescription,,%ld%% Bonus,
riderMissionRewardPlusIcon,btn_add.png,,
riderMissionCombatLevelDescription,,A rider's combat level grows as it levels up and equips better gear. Higher combat levels unlock additional dragon rider missions,
riderMissionTimeLabelCompleteString,,Collect Now!,
riderMissionTimeLabelSuffixString,, Remaining,
riderMissionReadyToCollectString,,Ready To Collect,
riderMissionViewTitle,,Rider Missions - %@,
riderMissionSpeedUpTitle,,COMPLETE NOW,
riderMissionAbandonTitle,,ABANDON,
riderMissionSpeedUp,,Are you sure to speed up rider mission?,
riderMissionAbandon,,Are you sure to abandon rider mission?,
riderMissionRiderIsOnMissionTitle,,Rider is on mission,
riderMissionRiderIsOnMissionBody,,"Rider is currently on mission, please wait till it finishes its mission.",
riderMissionRiderMissionIsReadyToCollectTitle,,Rider mission is ready to collect,
riderMissionRiderMissionIsReadyToCollectBody,,"There is a mission reward for this rider that is ready to collect, please first collect the reward for the mission.",
riderMissionCannotDeployTitle,,Cannot Deploy,
riderMissionCannotDeployOnGoing,,"Rider Mission is ongoing, please wait till it finishes to deploy another mission",
riderMissionCannotDeployNoRider,,You have no riders. You must first hire one to complete missions. Learn to hire and train riders by completing your Atlas quests.,
riderMissionCannotDeployRiderOnMission,,Rider is on mission,
riderMissionCannotDeployCollectReward,,Collect reward for last mission first,
riderMissionCannotDeployRiderNotBonded,,Rider needs to be on dragon to be in a mission,
riderMissionCannotDeployRiderCombatLevelNotEnough,,Rider's combat level is not high enough,
riderMissionCannotDeployRiderNotCorrectElement,,Dragon element doesn't match rider mission element,
riderMissionCannotDeployMissionLocked,,Rider Mission is Locked,
riderMissionCannotDeployMissionSlotsFull,,Rider Mission slots full,
riderMissionCannotDeployNotEnoughCurrency,,You don't have enough Rider Mission Tokens,
riderMissionCannotDeployCanDeployWithoutToken,,Can directly deploy rider. No need to use a token.,!@#kbpjinengijhhpof
