key,value,localizedValue,h
String,String,LocalizedString,String
generalFreeExpediteTime,60,,
currencyPriorities,piercing|artillery|lightning|aura|food,,
hudGreenPriorities,gift|rosterWithRider|warFinished|worldMap|quests|mail|settings|chat|leaderboard|roster|attack|war,,
enableCCBCloning,1,,
serverActionRequestBatchInterval,20,,
serverActionRequestMaxActions,30,,
serverActionRequestTimeout,40,,
serverActionRequestRetries,120,,
serverActionRequestRetryInterval,5,,
smrDefaultActionInterval,2,,
smrDefaultActionMaxUpdatedObjects,10,,
smrValidationEnabled,1,,
timeTakenToGiftTransfer,1200,,
timeToDisplayQuestGoButtonArrow,5,,
restartOnDetectingDeleteGameStateIssue,1,,
playerProfileBatchDownloadSize,17,,
facebookFriendsRequestInterval,5,,
facebookFriendsRequestRetries,3,,
facebookFriendsPictureReloadInterval,604800,,
shouldPreferFacebookAppLogin,1,,
wasBitPigPlayer,,,
successfulDefenseReward,ruby:3,,
maximumUncollectedReplays,1,,
defenseCollectCurrencyRewardPeriodSeconds,86400,,
shouldPlayValuePackHUDAnimation,1,,
numberOfValuePackConsecutiveShowings,3,,
valuePackLabels,,Incredible Deal|Great Value,
helpButtonProtectionMultiplier,2,,
nicknameCharacterLimit,14,,
availableInGameSpeedPercentages,10|50|100|200,,
qaMaxAllowedWaitingSMRAction,100,,
eventCameraPosition,"487.583374,350,-1862.68726|-50.5400009,-24.8000031,0.0000013433845|58.1798058",,
secondsToWaitForMysteryPack,5,,
timeUntilNextUpgradeOSPopup,1,,
maxLifetimeUpgradeOSPopupOccurrence,999,,
maxAmountOfCurrencyCanPurchaseOneTime,200,,
rewardsTableAnimationDelayTime,1,,
basicTutorialAchievmentId,tutorialUsername,,
zendeskGroupType,0,,
zendeskGroupIds,200141547|200148206,,
zendeskRequestTags,dragons|dragons_sdk,,
zendeskRequestSubject,App Ticket,,
gachaIndexToLocationNodeName,bronzeChest|silverChest|goldChest,,
salvageDepotCheckInText,,First Check-In of the Day!,
nativeGachaDowntimeStart,2018.06.14 00:00:01,,
nativeGachaDowntimeEnd,2018.06.14 23:59:59,,
valuePackCoolDownTimePurchaseFailedTitle,,Purchase Failed,
valuePackCoolDownTimePurchaseFailedMessage,,Purchase Failed: You can only buy this pack every %@. You must wait another %@ to purchase it again.,
gdprHash,1,,!@#hnooofiojhbbglpp
