key,value,localizedValue,h
String,String,LocalizedString,String
maxLevelToBeReferred,2,,
termsAndConditions,"Earn rewards by inviting your friends, subject to these terms and conditions. See the ""Rewards"" tab for what you may earn. Rewards will be provided for your first 20 referrals only. However, if we decide to increase the limit beyond 20, rewards for additional referrals up to the new limit will be provided retroactively. Rewards may not be triggered immediately upon downloads, and actions of your friends may be required (e.g., reaching a certain level in the game, etc.). Rewards will be provided only for referrals that are tracked. Tracking will occur only if your friends download the game from the link generated by the program, without any action or inaction that breaks or interrupts the tracking. The program and rewards are offered for the purpose of growing our user community. In the event of abuse, as determined by us in our sole discretion, we may withhold or revoke rewards. Such abuse may include, without limitation, a single user creating or using multiple accounts, or using bots, to trigger rewards when in fact no new users are referred. We reserve the right, at our sole discretion, to terminate or modify the program at any time.",,
maxNumberOfPeopleToBeReferred,30,,
referralURL,https://j2wv.adj.st/referral?code=MYCODE&branchSource=MYSOURCE&campaign=referral&adjust_t=mk2fkcl&adjust_deeplink=dragonsong%3A%2F%2Freferral%3Fcode%3DMYCODE%26branchSource%3DMYSOURCE%26campaign%3Dreferral,,
referralText,,Play War Dragons with me! Tap on my link to download the game and receive rewards!,
cannotReferYetTitle,,Cannot Refer Yet,
cannotReferYetBody,,%@ to invite friends!,
iosInstructions,,"1. Tap on the ""Invite"" button.

2. Share your personal link with a friend.

3. Receive rewards when your friends play War Dragons after tapping on your link and downloading the game.

4. Earn additional rewards when your friend levels up in the game and when you refer more friends! View the ""Rewards"" tab to learn more.",
androidInstructions,,"1. Tap on the ""Invite"" button.

2. Share your personal link with a friend.

3. Receive rewards when your friends play War Dragons after tapping on your link and downloading the game.

4. Earn additional rewards when your friend levels up in the game and when you refer more friends! View the ""Rewards"" tab to learn more.",
levelsForceToShowReferralCalloutIcon,6|15|22|31|38|43|48|55|61|67,,
referralNetworkDelay,,The network is slow. Please try again!,!@#camhobngmamhdgaf
