identifier,setName,isVisible,sortPriority,iconFilename,gearPullIdentifiers,h
String,LocalizedString,Integer,Integer,String,String,String
s1,Warlock Defense Set,1,1,riderSet_dark_base.png,gearPull_1|gearPull_11|gearPull_21|gearPull_31|gearPull_41|gearPull_56|gearPull_51|gearPull_66|gearPull_76|gearPull_77,
s2,Warlock Battle Set,1,2,riderSet_dark_dragon.png,gearPull_2|gearPull_12|gearPull_22|gearPull_32|gearPull_42|gearPull_57|gearPull_67|gearPull_78,
s3,Terra Defense Set,1,3,riderSet_earth_base.png,gearPull_3|gearPull_13|gearPull_23|gearPull_33|gearPull_43|gearPull_58|gearPull_52|gearPull_68|gearPull_79|gearPull_80,
s4,Terra Battle Set,1,4,riderSet_earth_dragon.png,gearPull_4|gearPull_14|gearPull_24|gearPull_34|gearPull_44|gearPull_59|gearPull_69|gearPull_81,
s5,Volcanic Defense Set,1,5,riderSet_fire_base.png,gearPull_5|gearPull_15|gearPull_25|gearPull_35|gearPull_45|gearPull_60|gearPull_53|gearPull_70|gearPull_82|gearPull_83,
s6,Volcanic Battle Set,1,6,riderSet_fire_dragon.png,gearPull_6|gearPull_16|gearPull_26|gearPull_36|gearPull_46|gearPull_61|gearPull_71|gearPull_84,
s7,Arctic Defense Set,1,7,riderSet_ice_base.png,gearPull_7|gearPull_17|gearPull_27|gearPull_37|gearPull_47|gearPull_62|gearPull_54|gearPull_72|gearPull_85|gearPull_86,
s8,Arctic Battle Set,1,8,riderSet_ice_dragon.png,gearPull_8|gearPull_18|gearPull_28|gearPull_38|gearPull_48|gearPull_63|gearPull_73|gearPull_87,
s9,Gale Defense Set,1,9,riderSet_wind_base.png,gearPull_9|gearPull_19|gearPull_29|gearPull_39|gearPull_49|gearPull_64|gearPull_55|gearPull_74|gearPull_88|gearPull_89,
s10,Gale Battle Set,1,10,riderSet_wind_dragon.png,gearPull_10|gearPull_20|gearPull_30|gearPull_40|gearPull_50|gearPull_65|gearPull_75|gearPull_90,
s11,Blackfire Battle Set,0,11,,,
e1,Hurricane Battle Set,0,12,,,
e2,Glacier Battle Set,0,13,,,
e3,Dragonfire Battle Set,0,14,,,
e4,Blazing Battle Set,0,15,,,
a1,Firey Elite Set,0,16,,,
a2,Stony Elite Set,0,17,,,
a3,Sky Elite Set,0,18,,,
a4,Frosted Elite Set,0,19,,,
a5,Mystic Elite Set,0,20,,,
a6,Molten Elite Set,0,21,,,
a7,Craggy Elite Set,0,22,,,
a8,Vortex Elite Set,0,23,,,
a9,Frigid Elite Set,0,24,,,
a10,Void Elite Set,0,25,,,
e5,Scorching Defender Set,0,26,,,
e6,Chitinous Battle Set,0,27,,,
e7,Spectral Battle Set,0,28,,,
e8,Glamorous Defender Set,0,29,,,
e9,Viking Defender Set,0,30,,,
e10,Valkyrie Battle Set,0,31,,,
a11,Firey Mythic Set,0,32,,,
a12,Stony Mythic Set,0,33,,,
a13,Sky Mythic Set,0,34,,,
a14,Frosted Mythic Set,0,35,,,
a15,Mystic Mythic Set,0,36,,,
a16,Molten Mythic Set,0,37,,,
a17,Craggy Mythic Set,0,38,,,
a18,Vortex Mythic Set,0,39,,,
a19,Frigid Mythic Set,0,40,,,
a20,Void Mythic Set,0,41,,,!@#inkcigokmjmloklg
