identifier,avatarPortraitIdentifiers,h
String,String,String
default,default,
marcusattilius,marcusattilius,
flamma,flamma,
alessia,alessia|ashT2|ashT3|ashT4|ashT5,
shawni,shawni,
spiculus,spiculus,
cron,cron,
laria,laria,
temujin,temujin,
klutulun,klutulun,
agustus,agustus,
quint,quint,
nazir,nazir,
maximilian,maximilian,
morrigan,morrigan,
elvenMaiden,elvenMaiden,
elvenQueen,elvenQueen,
ancientScientist,ancientScientist,
dwarfElder,dwarfElder,
loyalBodyguard,loyalBodyguard,
corruptSorcerer,corruptSorcerer,
shepherd,shepherd,
senateGuardFemale,senateGuardFemale,
nomad,nomad,
necro2,necro2,
sorceress,sorceress,
knight,knight,
dragonHandler,dragonHandler,
dreadnought,dreadnought,
zahrya,zahrya,
empousai,empousai,
leo,leo,
dragonShaman,dragonShaman,
ancientsAscent,ancientsAscent,
potionsMerchant,potionsMerchant,
cunningMarksman,cunningMarksman,
celestialWarrior,celestialWarrior,
raider,raider,
fireBrute,fireBrute,
fireFighter,fireFighter,
fireKnight,fireKnight,
pog,pog,
runicGustav,runicGustav,
celestialMale,celestialMaleT1|celestialMaleT2|celestialMaleT3,
egyptianWarrior,egyptianWarriorT1|egyptianWarriorT2|egyptianWarriorT3|egyptianWarriorT4|egyptianWarriorT5|egyptianWarriorT6,
kharnyx,kharnyxT1|kharnyxT2|kharnyxT3|kharnyxT4,
reduxM,reduxM|reduxMAnimated,
reduxF,reduxF|reduxFAnimated,
kinnaraKnight,kinnaraKnightT1|kinnaraKnightT2|kinnaraKnightT3,
frostEmissaryMale,frostEmissaryMaleT1|frostEmissaryMaleT2|frostEmissaryMaleT3|frostEmissaryMaleT4,
frostEmissaryFemale,frostEmissaryFemaleT1|frostEmissaryFemaleT2|frostEmissaryFemaleT3|frostEmissaryFemaleT4,
kharnyxMinion,kharnyxMinionT1|kharnyxMinionT2|kharnyxMinionT3|kharnyxMinionT4,
frostWizard,frostWizardT1|frostWizardT2|frostWizardT3|frostWizardT4,
springThorn,springThorn,
sb_IWD,sb_IWDT1|sb_IWDT2,
kharnyxLore,kharnyxLore,
springEmissaryMale,springEmissaryMaleT1|springEmissaryMaleT2|springEmissaryMaleT3|springEmissaryMaleT4,
