identifier,reskinSceneFile,reskinDeathSceneFile,h
String,String,String,String
stable_gold_stru_resource_stable_level01.lvl,stru_resource_stable_level01-4.lvl,,
stable_silver_stru_resource_stable_level01.lvl,stru_resource_stable_level01-3.lvl,,
stable_bronze_stru_resource_stable_level01.lvl,stru_resource_stable_level01-2.lvl,,
stable_gold_stru_resource_stable_level02.lvl,stru_resource_stable_level02-4.lvl,,
stable_silver_stru_resource_stable_level02.lvl,stru_resource_stable_level02-3.lvl,,
stable_bronze_stru_resource_stable_level02.lvl,stru_resource_stable_level02-2.lvl,,
stable_gold_stru_resource_stable_level03.lvl,stru_resource_stable_level03-4.lvl,,
stable_silver_stru_resource_stable_level03.lvl,stru_resource_stable_level03-3.lvl,,
stable_bronze_stru_resource_stable_level03.lvl,stru_resource_stable_level03-2.lvl,,
statue_bronze_prop_monument_dragonStatue.lvl,prop_monument_dragonStatue_bronze.lvl,prop_monument_dragonStatue_death.lvl,
statue_silver_prop_monument_dragonStatue.lvl,prop_monument_dragonStatue_silver.lvl,prop_monument_dragonStatue_death.lvl,
statue_gold_prop_monument_dragonStatue.lvl,prop_monument_dragonStatue_gold.lvl,prop_monument_dragonStatue_death.lvl,
stable_japan_stru_resource_stable_level00.lvl,stru_resource_stable_level03_Jap.lvl,,
stable_japan_stru_resource_stable_level01.lvl,stru_resource_stable_level03_Jap.lvl,,
stable_japan_stru_resource_stable_level02.lvl,stru_resource_stable_level03_Jap.lvl,,
stable_japan_stru_resource_stable_level03.lvl,stru_resource_stable_level03_Jap.lvl,,
forge_japan_stru_resource_alchemyHut_level00.lvl,stru_resource_alchemyHut_level03_Jap.lvl,,
forge_japan_stru_resource_alchemyHut_level01.lvl,stru_resource_alchemyHut_level03_Jap.lvl,,
forge_japan_stru_resource_alchemyHut_level02.lvl,stru_resource_alchemyHut_level03_Jap.lvl,,
forge_japan_stru_resource_alchemyHut_level03.lvl,stru_resource_alchemyHut_level03_Jap.lvl,,
builder_japan_stru_resource_builderHut_level00.lvl,stru_resource_builderHut_level03_Jap.lvl,,
builder_japan_stru_resource_builderHut_level01.lvl,stru_resource_builderHut_level03_Jap.lvl,,
builder_japan_stru_resource_builderHut_level02.lvl,stru_resource_builderHut_level03_Jap.lvl,,
builder_japan_stru_resource_builderHut_level03.lvl,stru_resource_builderHut_level03_Jap.lvl,,
guild_japan_stru_resource_guildHall_level00.lvl,stru_resource_guildHall_level03_Jap.lvl,,
guild_japan_stru_resource_guildHall_level01.lvl,stru_resource_guildHall_level03_Jap.lvl,,
guild_japan_stru_resource_guildHall_level02.lvl,stru_resource_guildHall_level03_Jap.lvl,,
research_japan_stru_resource_research_level00.lvl,stru_resource_research_level03_Jap.lvl,,
research_japan_stru_resource_research_level01.lvl,stru_resource_research_level03_Jap.lvl,,
research_japan_stru_resource_research_level02.lvl,stru_resource_research_level03_Jap.lvl,,
research_japan_stru_resource_research_level03.lvl,stru_resource_research_level03_Jap.lvl,,
stable_tiki_stru_resource_stable_level00.lvl,stru_resource_stable_level03_Tiki.lvl,,
stable_tiki_stru_resource_stable_level01.lvl,stru_resource_stable_level03_Tiki.lvl,,
stable_tiki_stru_resource_stable_level02.lvl,stru_resource_stable_level03_Tiki.lvl,,
stable_tiki_stru_resource_stable_level03.lvl,stru_resource_stable_level03_Tiki.lvl,,
forge_tiki_stru_resource_alchemyHut_level00.lvl,stru_resource_alchemyHut_level03_Tiki.lvl,,
forge_tiki_stru_resource_alchemyHut_level01.lvl,stru_resource_alchemyHut_level03_Tiki.lvl,,
forge_tiki_stru_resource_alchemyHut_level02.lvl,stru_resource_alchemyHut_level03_Tiki.lvl,,
forge_tiki_stru_resource_alchemyHut_level03.lvl,stru_resource_alchemyHut_level03_Tiki.lvl,,
builder_tiki_stru_resource_builderHut_level00.lvl,stru_resource_builderHut_level03_Tiki.lvl,,
builder_tiki_stru_resource_builderHut_level01.lvl,stru_resource_builderHut_level03_Tiki.lvl,,
builder_tiki_stru_resource_builderHut_level02.lvl,stru_resource_builderHut_level03_Tiki.lvl,,
builder_tiki_stru_resource_builderHut_level03.lvl,stru_resource_builderHut_level03_Tiki.lvl,,
guild_tiki_stru_resource_guildHall_level00.lvl,stru_resource_guildHall_level03_Tiki.lvl,,
guild_tiki_stru_resource_guildHall_level01.lvl,stru_resource_guildHall_level03_Tiki.lvl,,
guild_tiki_stru_resource_guildHall_level02.lvl,stru_resource_guildHall_level03_Tiki.lvl,,
research_tiki_stru_resource_research_level00.lvl,stru_resource_research_level03_Tiki.lvl,,
research_tiki_stru_resource_research_level01.lvl,stru_resource_research_level03_Tiki.lvl,,
research_tiki_stru_resource_research_level02.lvl,stru_resource_research_level03_Tiki.lvl,,
research_tiki_stru_resource_research_level03.lvl,stru_resource_research_level03_Tiki.lvl,,!@#amjonbgglafoaijn
