identifier,multiplier,h
String,Integer,String
eggMultiplier_1,10,
eggMultiplier_2,19,
eggMultiplier_3,52,
eggMultiplier_4,150,
eggMultiplier_5,400,
eggMultiplier_6,720,
eggMultiplier_7,1000,
eggMultiplier_8,4642,
eggMultiplier_9,13552,
eggMultiplier_10,26292,
eggMultiplier_11,49505,
eggMultiplier_12,78775,
eggMultiplier_13,121934,
eggMultiplier_14,144306,
eggMultiplier_15,170342,
eggMultiplier_16,194656,
eggMultiplier_17,221464,
eggMultiplier_18,246080,
eggMultiplier_19,275544,
eggMultiplier_20,287592,
eggMultiplier_21,405888,
eggMultiplier_22,426496,
eggMultiplier_23,445568,
eggMultiplier_24,474560,
eggMultiplier_25,501504,
eggMultiplier_26,526592,
eggMultiplier_27,549984,
eggMultiplier_28,586168,
eggMultiplier_29,636847,
eggMultiplier_30,702828,
eggMultiplier_31,769784,
eggMultiplier_32,862321,
eggMultiplier_33,940920,
eggMultiplier_34,1001880,
eggMultiplier_35,1062880,
eggMultiplier_36,1147600,
eggMultiplier_37,1232280,
eggMultiplier_38,1317000,
eggMultiplier_39,1401720,
eggMultiplier_40,1486400,
eggMultiplier_41,1571120,
eggMultiplier_42,1655840,
eggMultiplier_43,1768760,
eggMultiplier_44,1881720,
eggMultiplier_45,1994640,
eggMultiplier_46,2107600,
eggMultiplier_47,2220520,
eggMultiplier_48,2401240,
eggMultiplier_49,2581960,
eggMultiplier_50,2762640,
eggMultiplier_51,2943360,
eggMultiplier_52,3124080,
eggMultiplier_53,3304760,
eggMultiplier_54,3485480,
eggMultiplier_55,3666160,
eggMultiplier_56,3846880,
trophyCoins_1,20,
trophyCoins_2,32,
trophyCoins_3,50,
trophyCoins_4,76,
trophyCoins_5,230,
trophyCoins_6,344,
trophyCoins_7,482,
trophyCoins_8,1354,
trophyCoins_9,3792,
trophyCoins_10,7964,
trophyCoins_11,13806,
trophyCoins_12,22436,
trophyCoins_13,35002,
trophyCoins_14,45502,
trophyCoins_15,59152,
trophyCoins_16,70984,
trophyCoins_17,85180,
trophyCoins_18,102218,
trophyCoins_19,122660,
trophyCoins_20,134926,
trophyCoins_21,197894,
trophyCoins_22,217682,
trophyCoins_23,239450,
trophyCoins_24,251424,
trophyCoins_25,263994,
trophyCoins_26,277194,
trophyCoins_27,291054,
trophyCoins_28,305608,
trophyCoins_29,320888,
trophyCoins_30,336932,
trophyCoins_31,353778,
trophyCoins_32,371468,
trophyCoins_33,390040,
trophyCoins_34,409544,
trophyCoins_35,430020,
trophyCoins_36,451522,
trophyCoins_37,474098,
trophyCoins_38,497802,
trophyCoins_39,522692,
trophyCoins_40,548828,
trophyCoins_41,576268,
trophyCoins_42,605082,
trophyCoins_43,635336,
trophyCoins_44,667104,
trophyCoins_45,700458,
trophyCoins_46,735482,
trophyCoins_47,772256,
trophyCoins_48,810868,
trophyCoins_49,851412,
trophyCoins_50,893982,
trophyCoins_51,938682,
trophyCoins_52,985616,
trophyCoins_53,1034896,
trophyCoins_54,1086642,
trophyCoins_55,1140974,
trophyCoins_56,1198022,
BreederAchievementComponentMultiplier_1,30,
BreederAchievementComponentMultiplier_2,30,
BreederAchievementComponentMultiplier_3,30,
BreederAchievementComponentMultiplier_4,30,
BreederAchievementComponentMultiplier_5,37,
BreederAchievementComponentMultiplier_6,45,
BreederAchievementComponentMultiplier_7,52,
BreederAchievementComponentMultiplier_8,75,
BreederAchievementComponentMultiplier_9,75,
BreederAchievementComponentMultiplier_10,90,
BreederAchievementComponentMultiplier_11,105,
BreederAchievementComponentMultiplier_12,105,
BreederAchievementComponentMultiplier_13,120,
BreederAchievementComponentMultiplier_14,135,
BreederAchievementComponentMultiplier_15,135,
BreederAchievementComponentMultiplier_16,150,
BreederAchievementComponentMultiplier_17,150,
BreederAchievementComponentMultiplier_18,165,
BreederAchievementComponentMultiplier_19,165,
BreederAchievementComponentMultiplier_20,180,
BreederAchievementComponentMultiplier_21,180,
BreederAchievementComponentMultiplier_22,195,
BreederAchievementComponentMultiplier_23,195,
BreederAchievementComponentMultiplier_24,210,
BreederAchievementComponentMultiplier_25,210,
BreederAchievementComponentMultiplier_26,225,
BreederAchievementComponentMultiplier_27,225,
BreederAchievementComponentMultiplier_28,240,
BreederAchievementComponentMultiplier_29,240,
BreederAchievementComponentMultiplier_30,240,
BreederAchievementComponentMultiplier_31,255,
BreederAchievementComponentMultiplier_32,255,
BreederAchievementComponentMultiplier_33,270,
BreederAchievementComponentMultiplier_34,270,
BreederAchievementComponentMultiplier_35,270,
BreederAchievementComponentMultiplier_36,300,
BreederAchievementComponentMultiplier_37,300,
BreederAchievementComponentMultiplier_38,330,
BreederAchievementComponentMultiplier_39,330,
BreederAchievementComponentMultiplier_40,330,
BreederAchievementComponentMultiplier_41,360,
BreederAchievementComponentMultiplier_42,360,
BreederAchievementComponentMultiplier_43,390,
BreederAchievementComponentMultiplier_44,390,
BreederAchievementComponentMultiplier_45,390,
BreederAchievementComponentMultiplier_46,420,
BreederAchievementComponentMultiplier_47,420,
BreederAchievementComponentMultiplier_48,450,
BreederAchievementComponentMultiplier_49,450,
BreederAchievementComponentMultiplier_50,450,
BreederAchievementComponentMultiplier_51,480,
BreederAchievementComponentMultiplier_52,480,
BreederAchievementComponentMultiplier_53,510,
BreederAchievementComponentMultiplier_54,510,
BreederAchievementComponentMultiplier_55,510,
BreederAchievementComponentMultiplier_56,540,
BreederAchievementComponentMultiplier_57,540,
BreederAchievementComponentMultiplier_58,577,
BreederAchievementComponentMultiplier_59,577,
BreederAchievementComponentMultiplier_60,577,
BreederAchievementComponentMultiplier_61,615,
BreederAchievementComponentMultiplier_62,615,
BreederAchievementComponentMultiplier_63,652,
BreederAchievementComponentMultiplier_64,652,
BreederAchievementComponentMultiplier_65,652,
BreederAchievementComponentMultiplier_66,690,
BreederAchievementComponentMultiplier_67,690,
BreederAchievementComponentMultiplier_68,727,
BreederAchievementComponentMultiplier_69,727,
BreederAchievementComponentMultiplier_70,727,
BreederAchievementComponentMultiplier_71,765,
BreederAchievementComponentMultiplier_72,765,
BreederAchievementComponentMultiplier_73,802,
BreederAchievementComponentMultiplier_74,802,
BreederAchievementComponentMultiplier_75,802,
BreederAchievementComponentMultiplier_76,840,
BreederAchievementComponentMultiplier_77,840,
BreederAchievementComponentMultiplier_78,900,
BreederAchievementComponentMultiplier_79,900,
BreederAchievementComponentMultiplier_80,900,
BreederAchievementComponentMultiplier_81,960,
BreederAchievementComponentMultiplier_82,960,
BreederAchievementComponentMultiplier_83,1020,
BreederAchievementComponentMultiplier_84,1020,
BreederAchievementComponentMultiplier_85,1020,
BreederAchievementComponentMultiplier_86,1080,
BreederAchievementComponentMultiplier_87,1080,
BreederAchievementComponentMultiplier_88,1140,
BreederAchievementComponentMultiplier_89,1140,
BreederAchievementComponentMultiplier_90,1140,
BreederAchievementComponentMultiplier_91,1200,
BreederAchievementComponentMultiplier_92,1200,
BreederAchievementComponentMultiplier_93,1290,
BreederAchievementComponentMultiplier_94,1290,
BreederAchievementComponentMultiplier_95,1290,
BreederAchievementComponentMultiplier_96,1380,
BreederAchievementComponentMultiplier_97,1380,
BreederAchievementComponentMultiplier_98,1470,
BreederAchievementComponentMultiplier_99,1470,
BreederAchievementComponentMultiplier_100,1470,
BreederAchievementComponentMultiplier_101,1560,
BreederAchievementComponentMultiplier_102,1560,
BreederAchievementComponentMultiplier_103,1650,
BreederAchievementComponentMultiplier_104,1650,
BreederAchievementComponentMultiplier_105,1650,
BreederAchievementComponentMultiplier_106,1740,
BreederAchievementComponentMultiplier_107,1740,
BreederAchievementComponentMultiplier_108,1830,
BreederAchievementComponentMultiplier_109,1830,
BreederAchievementComponentMultiplier_110,1830,
BreederAchievementComponentMultiplier_111,1920,
BreederAchievementComponentMultiplier_112,1920,
BreederAchievementComponentMultiplier_113,2010,
BreederAchievementComponentMultiplier_114,2010,
BreederAchievementComponentMultiplier_115,2010,
BreederAchievementComponentMultiplier_116,2100,
BreederAchievementComponentMultiplier_117,2100,
BreederAchievementComponentMultiplier_118,2190,
BreederAchievementComponentMultiplier_119,2190,
BreederAchievementComponentMultiplier_120,2190,
BreederAchievementComponentMultiplier_121,2280,
BreederAchievementComponentMultiplier_122,2280,
BreederAchievementComponentMultiplier_123,2370,
BreederAchievementComponentMultiplier_124,2370,
BreederAchievementComponentMultiplier_125,2370,
BreederAchievementComponentMultiplier_126,2460,
BreederAchievementComponentMultiplier_127,2460,
BreederAchievementComponentMultiplier_128,2550,
BreederAchievementComponentMultiplier_129,2550,
BreederAchievementComponentMultiplier_130,2550,
BreederAchievementComponentMultiplier_131,2640,
BreederAchievementComponentMultiplier_132,2640,
BreederAchievementComponentMultiplier_133,2730,
BreederAchievementComponentMultiplier_134,2730,
BreederAchievementComponentMultiplier_135,2730,
BreederAchievementComponentMultiplier_136,2820,
BreederAchievementComponentMultiplier_137,2820,
BreederAchievementComponentMultiplier_138,2910,
BreederAchievementComponentMultiplier_139,2910,
BreederAchievementComponentMultiplier_140,2910,
BreederAchievementComponentMultiplier_141,3000,
BreederAchievementComponentMultiplier_142,3000,
BreederAchievementComponentMultiplier_143,3090,
BreederAchievementComponentMultiplier_144,3090,
BreederAchievementComponentMultiplier_145,3090,
BreederAchievementComponentMultiplier_146,3180,
BreederAchievementComponentMultiplier_147,3180,
BreederAchievementComponentMultiplier_148,3270,
BreederAchievementComponentMultiplier_149,3270,
BreederAchievementComponentMultiplier_150,3270,
BreederAchievementComponentMultiplier_151,3315,
BreederAchievementComponentMultiplier_152,3342,
BreederAchievementComponentMultiplier_153,3369,
BreederAchievementComponentMultiplier_154,3396,
BreederAchievementComponentMultiplier_155,3423,
BreederAchievementComponentMultiplier_156,3450,
BreederAchievementComponentMultiplier_157,3477,
BreederAchievementComponentMultiplier_158,3504,
BreederAchievementComponentMultiplier_159,3531,
BreederAchievementComponentMultiplier_160,3558,
BreederAchievementComponentMultiplier_161,3585,
BreederAchievementComponentMultiplier_162,3612,
BreederAchievementComponentMultiplier_163,3639,
BreederAchievementComponentMultiplier_164,3666,
BreederAchievementComponentMultiplier_165,3693,
BreederAchievementComponentMultiplier_166,3720,
BreederAchievementComponentMultiplier_167,3747,
BreederAchievementComponentMultiplier_168,3774,
BreederAchievementComponentMultiplier_169,3801,
BreederAchievementComponentMultiplier_170,3828,
BreederAchievementComponentMultiplier_171,3855,
BreederAchievementComponentMultiplier_172,3882,
BreederAchievementComponentMultiplier_173,3909,
BreederAchievementComponentMultiplier_174,3936,
BreederAchievementComponentMultiplier_175,3963,
BreederAchievementComponentMultiplier_176,3990,
BreederAchievementComponentMultiplier_177,4017,
BreederAchievementComponentMultiplier_178,4044,
BreederAchievementComponentMultiplier_179,4071,
BreederAchievementComponentMultiplier_180,4098,
BreederAchievementComponentMultiplier_181,4125,
BreederAchievementComponentMultiplier_182,4152,
BreederAchievementComponentMultiplier_183,4179,
BreederAchievementComponentMultiplier_184,4206,
BreederAchievementComponentMultiplier_185,4233,
BreederAchievementComponentMultiplier_186,4260,
BreederAchievementComponentMultiplier_187,4287,
BreederAchievementComponentMultiplier_188,4314,
BreederAchievementComponentMultiplier_189,4341,
BreederAchievementComponentMultiplier_190,4368,
BreederAchievementComponentMultiplier_191,4395,
BreederAchievementComponentMultiplier_192,4422,
BreederAchievementComponentMultiplier_193,4449,
BreederAchievementComponentMultiplier_194,4476,
BreederAchievementComponentMultiplier_195,4503,
BreederAchievementComponentMultiplier_196,4530,
BreederAchievementComponentMultiplier_197,4557,
BreederAchievementComponentMultiplier_198,4584,
BreederAchievementComponentMultiplier_199,4611,
BreederAchievementComponentMultiplier_200,4638,
BreederAchievementComponentMultiplier_201,4665,
BreederAchievementComponentMultiplier_202,4692,
BreederAchievementComponentMultiplier_203,4719,
BreederAchievementComponentMultiplier_204,4746,
BreederAchievementComponentMultiplier_205,4773,
BreederAchievementComponentMultiplier_206,4800,
BreederAchievementComponentMultiplier_207,4827,
BreederAchievementComponentMultiplier_208,4854,
