identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,storageAmount,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityCost,activeAbilityRange,explosionSceneFile,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,String,String,String,String,Integer,String,Integer,Float,String,String,String,String,String,String,String,Float,Integer,Integer,String,String,String,Integer,String,String,Integer,String
StableUpgrades_1,1,sceneFile|explosionSceneFile,stru_resource_stable_level01.lvl,,piercing:3,3,,,100,,,,experience:0,,,,1.5,1,90,stru_resource_stable_level01_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_2,2,0,stru_resource_stable_level02.lvl,,piercing:720,3,,2,100,,,,experience:0,,,,1.5,1,90,stru_resource_stable_level02_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_3,3,0,stru_resource_stable_level03.lvl,,piercing:1716,3,,4,100,,,,experience:0,,,,1.5,1,90,stru_resource_stable_level03_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_4,4,0,stru_resource_stable_level03.lvl,,piercing:3888,3,,7,100,,,,experience:0,,,,1.5,1,90,stru_resource_stable_level03_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_5,5,0,stru_resource_stable_level03.lvl,,piercing:8112,3,,10,100,,,,experience:0,,,,1.5,1,90,stru_resource_stable_level03_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_6,6,0,stru_resource_stable_level03.lvl,,piercing:17136,3,,13,100,,,,experience:0,,,,1.5,1,90,stru_resource_stable_level03_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_7,7,0,stru_resource_stable_level03.lvl,,piercing:27405,3,,17,100,,,,experience:0,,,,1.5,1,90,stru_resource_stable_level03_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_8,8,0,stru_resource_stable_level03.lvl,,piercing:39168,3,,21,100,,,,experience:0,,,,1.5,1,90,stru_resource_stable_level03_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
StableUpgrades_9,9,0,stru_resource_stable_level03.lvl,,piercing:57600,3,,25,100,,,,experience:0,,,,1.5,1,90,stru_resource_stable_level03_death.lvl,,,0,,vfx_building_stable_upgrade_01.lvl,1,
