identifier,inBundle,rosterSceneFile,battleSceneFile,iconFile,halfBodyIconFile,tierNumber,name,upgradeCSVFileName,rootSkillIdentifier,canHire,zoomInCameraPosition,currencyToExchangeXP,currencyCostPerXP,isDefensive,skillResetCurrency,skillResetCost,hasIntroAnimation,h
String,String,String,String,String,String,Integer,LocalizedString,String,String,Integer,String,String,Float,Integer,String,Integer,Integer,String
Ash_Dragonlord,0,rider_ash_v1.lvl,rider_ash_v1.lvl,img_portrait_alessiaT3_02.png,img_portrait_alessia_half_02.png,1,Warrior,AshRiderUpgrades.csv,Ash_Dragonlord_01,1,-110~40~-100,diamond,1.608,0,diamond,10000,0,
Ash_Protector,0,rider_ash_v2.lvl,rider_ash_v2.lvl,img_portrait_ash_v2.png,img_portrait_ash_half_v2.png,1,Vanquisher,AshRiderUpgrades.csv,Ash_Protector_01,1,-110~40~-100,diamond,1.608,0,diamond,10000,0,
Ash_Defender,0,rider_ash_v3.lvl,rider_ash_v3.lvl,img_portrait_ash_v3.png,img_portrait_ash_half_v3.png,1,Defender,AshRiderUpgrades.csv,Ash_Defender_01,1,-110~40~-100,diamond,1.608,1,diamond,10000,0,
Ash_Conqueror,0,rider_ash_v4.lvl,rider_ash_v4.lvl,img_portrait_ash_v4.png,img_portrait_ash_half_v4.png,1,Conqueror,AshRiderUpgrades.csv,Ash_Conqueror_01,1,-110~40~-100,diamond,1.608,0,diamond,10000,0,
KharnyxMinion,0,rider_kharnyxMinion.lvl,rider_kharnyxMinion.lvl,img_portrait_kharnyxMinion_T3_02.png,img_portrait_kharnyxMinion_T3_half_02.png,1,Grogg,KharnyxMinionUpgrades.csv,KharnyxMinion_01,1,-110~28~-100,diamond,1.608,0,ruby,10000,1,
E17Q4_Kayla,0,rider_fiendHunter.lvl,rider_fiendHunter.lvl,img_portrait_fiendSlayer_T3_noBG_02.png,img_portrait_fiendSlayer_T3_noBG_half_02.png,1,Kayla,E17Q4_KaylaUpgrades.csv,SkillTree_Kayla_01,1,-110~0~-80,diamond,1.608,0,ruby,10000,0,
E17Q4_Tor,0,rider_captainTor.lvl,rider_captainTor.lvl,img_portrait_captainTor_02.png,img_portrait_captain_tor_half.png,1,Tor,E17Q4_TorUpgrades.csv,SkillTree_Tor_01,1,-110~28~-100,diamond,1.608,0,ruby,10000,0,
E18Q1_Oksana,0,rider_morphosKnight.lvl,rider_morphosKnight.lvl,img_portrait_morphosKnight_T1_02.png,img_portrait_morphos_half.png,1,Oksana,E18Q1_OksanaUpgrades.csv,SkillTree_Oksana_01,1,-110~50~-110,diamond,1.608,0,ruby,10000,0,
E18Q1_Terris,0,rider_arboriusKnight.lvl,rider_arboriusKnight.lvl,img_portrait_terris_02.png,img_portrait_terris_half.png,1,Terris,E18Q1_TerrisUpgrades.csv,SkillTree_Terris_01,1,-110~46~-100,diamond,1.608,0,ruby,10000,0,
E18Q2_Tanok,0,rider_mesoWarrior_roster.lvl,rider_mesoWarrior_battle.lvl,img_portrait_mesoWarrior_T3_02.png,img_portrait_mesoWarrior_half.png,1,Tanok,E18Q2_TanokUpgrades.csv,SkillTree_Tanok_01,1,-110~46~-100,diamond,1.608,1,ruby,10000,1,
Atlas_PirateCaptain,0,rider_pirateCaptain.lvl,rider_pirateCaptain.lvl,img_portrait_atlasPirate_T3_02.png,img_portrait_atlasPirate_half.png,1,Swann,Atlas_PirateCaptainUpgrades.csv,Atlas_PirateCaptain_01,1,-110~46~-100,diamond,1.608,0,diamond,10000,0,
E18Q2_Nal,0,rider_etinKnight_roster.lvl,rider_etinKnight_battle.lvl,img_portrait_etinKnight_T2_02.png,img_portrait_etinKnight_half.png,1,Nal,E18Q2_NalUpgrades.csv,SkillTree_Nal_01,1,-60~38~-100,diamond,1.608,0,ruby,10000,1,
E18Q3_Portia,0,rider_maskLady_roster.lvl,rider_maskLady_battle.lvl,img_portrait_maskLady_noBG_02.png,img_portrait_maskLady_half_02.png,1,Portia,E18Q3_PortiaUpgrades.csv,SkillTree_Portia_01,1,-62~24~-100,diamond,1.608,0,ruby,10000,1,
Atlas_ButcherKnight,0,rider_butcherKnight_roster.lvl,rider_butcherKnight_battle.lvl,img_portrait_atlasButcherKnight_T3_02.png,img_portrait_atlasButcherKnight_half.png,1,Malus,Atlas_ButcherKnightUpgrades.csv,Atlas_ButcherKnight_01,1,-40~38~-100,diamond,1.608,0,diamond,10000,0,
E18Q3_Lorenzo,0,rider_maskGentleman_roster.lvl,rider_maskGentleman_battle.lvl,img_portrait_maskGentleman_noBG_02.png,img_portrait_maskGentleman_half.png,1,Lorenzo,E18Q3_LorenzoUpgrades.csv,SkillTree_Lorenzo_01,1,-102~6~-100,diamond,1.608,0,ruby,10000,0,
E18Q4_Bjorn,0,rider_viking_roster.lvl,rider_viking_battle.lvl,img_portrait_vikingRaider01_noBG_02.png,img_portrait_vikingRaider01_half.png,1,Bjorn,E18Q4_BjornUpgrades.csv,SkillTree_Bjorn_01,1,-110~46~-100,diamond,1.608,0,ruby,10000,1,
E18Q4_Astrid,0,rider_valkyrie_roster.lvl,rider_valkyrie_battle.lvl,img_portrait_vikingValkyrie_noBG_02.png,img_portrait_vikingValkyrie_half.png,1,Astrid,E18Q4_AstridUpgrades.csv,SkillTree_Astrid_01,1,-110~46~-100,diamond,1.608,0,ruby,10000,1,
Atlas_CloudRider,0,rider_cloudRider_roster.lvl,rider_cloudRider_battle.lvl,img_portrait_cloudRider_noBG_02.png,img_portrait_cloudRider_half.png,1,Kevana,Atlas_CloudRiderUpgrades.csv,Atlas_CloudRider_01,1,-40~38~-100,diamond,1.608,0,diamond,10000,0,
E19Q1_Saito,0,rider_blindSwordsman_roster.lvl,rider_blindSwordsman_battle.lvl,img_portrait_blindSwordsman_T3_02.png,img_portrait_blindSwordsman_half.png,1,Saito,E19Q1_SaitoUpgrades.csv,SkillTree_Saito_01,1,-40~38~-100,diamond,1.608,0,ruby,10000,1,
E19Q1_Kazane,0,rider_shrineGuard_roster.lvl,rider_shrineGuard_battle.lvl,img_portrait_shrineGuard_t3_02.png,img_portrait_shrineGuard_half_02.png,1,Kazane,E19Q1_KazaneUpgrades.csv,SkillTree_Kazane_01,1,-110~46~-100,diamond,1.608,0,ruby,10000,1,
Atlas_CaptainFire,0,rider_emberKnight_roster.lvl,rider_emberKnight_battle.lvl,img_portrait_atlasCaptainFire_half.png,img_portrait_atlasCaptainFire_half.png,1,Adriak,Atlas_CaptainFireUpgrades.csv,Atlas_CaptainFire_01,1,-40~38~-100,diamond,1.608,0,diamond,10000,1,
Atlas_CaptainWind,0,rider_celestialKnight_roster.lvl,rider_celestialKnight_battle.lvl,img_portrait_atlasCaptainWind_half.png,img_portrait_atlasCaptainWind_half.png,1,Adriel,Atlas_CaptainWindUpgrades.csv,Atlas_CaptainWind_01,1,-40~38~-100,diamond,1.608,1,diamond,10000,1,
E19Q2_Leilani,0,rider_waveGuard_roster.lvl,rider_waveGuard_battle.lvl,img_portrait_sea1_T3_02.png,img_portrait_sea1_half.png,1,Leilani,E19Q2_LeilaniUpgrades.csv,SkillTree_Leilani_01,1,-40~38~-100,diamond,1.608,0,ruby,10000,1,
E19Q2_Ano,0,rider_islandChieftain_roster.lvl,rider_islandChieftain_battle.lvl,img_portrait_sea5_T3_02.png,img_portrait_sea5_half.png,1,Ano,E19Q2_AnoUpgrades.csv,SkillTree_Ano_01,1,-40~38~-100,diamond,1.608,0,ruby,10000,1,
Atlas_Archer,0,rider_atlasArcher_roster.lvl,rider_atlasArcher_battle.lvl,img_portrait_atlasArcher_noBG_02.png,img_portrait_atlasArcher_half.png,1,Sophia,Atlas_ArcherUpgrades.csv,SkillTree_Atlas_Sophia_01,1,-40~38~-100,diamond,1.608,0,diamond,10000,1,
E19Q3_Reginald,0,rider_privateInvestigator_roster.lvl,rider_privateInvestigator_battle.lvl,img_portrait_halloween19_investigator_T3_02.png,img_portrait_halloween19_investigator_half.png,1,Reginald,E19Q3_ReginaldUpgrades.csv,SkillTree_Reginald_01,1,-110~46~-100,diamond,1.608,0,ruby,10000,1,
E19Q3_Vivian,0,rider_halloweenCultist_roster.lvl,rider_halloweenCultist_battle.lvl,img_portrait_halloween19_cultist_T3_02.png,img_portrait_halloween19_cultist_half.png,1,Vivian,E19Q3_VivianUpgrades.csv,SkillTree_Vivian_01,1,-110~46~-100,diamond,1.608,0,ruby,10000,1,
Atlas_poacherMale,0,rider_poacherMale_roster.lvl,rider_poacherMale_battle.lvl,img_portrait_atlasPoacherM_T3_02.png,img_portrait_atlasPoacherM_half.png,1,Crom,Atlas_CromUpgrades.csv,SkillTree_Crom_01,1,-40~38~-100,diamond,1.608,0,diamond,10000,1,
E19Q4_Rosheen,0,rider_dwarfFemale_roster.lvl,rider_dwarfFemale_battle.lvl,img_portrait_dwarvenOutrider02_T3_02.png,img_portrait_dwarvenOutrider02_half.png,1,Rosheen,E19Q4_RosheenUpgrades.csv,SkillTree_Rosheen_01,1,-110~46~-100,diamond,1.608,0,ruby,10000,1,
E19Q4_Atlas_Anja,0,rider_atlasTundra_roster.lvl,rider_atlasTundra_battle.lvl,img_portrait_atlasTundra_T3_02.png,img_portrait_atlasTundra_half.png,1,Anja,E19Q4_Atlas_AnjaUpgrades.csv,SkillTree_Anja_01,1,-110~46~-100,diamond,1.608,0,diamond,10000,1,!@#icnppkiggnlmmalk
