identifier,inBundle,isSecondary,canShowOnAnything,speakerDisplayName,dialog,bubblePosition,bubblePositionIPad,firstCharacterChanged,firstCharacterRepeatAnimation,firstCharacterPosition,firstCharacterPositionIPad,firstCharacterSpriteSheet,firstCharacterStaticImage,firstCharacterNumFrames,firstCharacterFlipped,backgroundImage,darkenBackground,h
String,String,Integer,Integer,LocalizedString,LocalizedString,String,String,Integer,Integer,String,String,String,String,Integer,Integer,String,Integer,String
narrationDragonDen_0,1,0,0,Ash,Commander! We need your help to avenge our enemies!,0~30,0~60,0,1,-10~-20,-20~-40,,alessia.png,1,1,,0,
narrationDragonDen_1,1,0,0,Ash,Let me show you our Dragon Den.,0~30,0~60,0,1,-10~-20,-20~-40,,alessia.png,1,1,,0,
narrationStable_0,1,0,0,Ash,Your mighty red dragon awaits your orders. ,0~30,0~60,0,1,-10~-20,-20~-40,,alessia.png,1,1,,0,
narrationPve01_0,1,0,0,Ash,"Stranger, our kingdom is at the mercy of constant Blackblood assaults! Please command your dragon to attack back!",0~30,0~60,0,1,-10~-20,-20~-40,,alessia.png,1,1,,0,
narrationPve01Alt_0,1,0,1,Ash,"Enemy maps are like puzzles. Draco has a high rage regeneration, but weak offensive spells. Leviathan is the opposite.",0~30,0~60,0,1,-10~-20,-20~-40,,alessia.png,1,1,,0,
narrationPve01Alt_1,1,0,1,Ash,"Use Draco to build rage, then Leviathan's blast spell!",0~30,0~60,0,1,-10~-20,-20~-40,,alessia.png,1,1,,0,
narrationPve01Finish_0,1,0,1,Ash,Great work! Attack Fang to use your new dragon spell and gain experience!,0~30,0~60,0,1,-10~-20,-20~-40,,alessia.png,1,1,,0,
narrationtutorialNarrationYouHaveReturned_0,1,0,0,Ash,Incredible! You crushed our enemy with merely one dragon. What is your name?,0~30,0~60,0,1,-10~-20,-20~-40,,alessia.png,1,1,,0,
narrationBuildBreedingCastle_0,1,0,0,Ash,"Can it really be you? For years we've prayed our rightful ruler had survived! You must rebuild, starting with the breeding castle!",0~30,0~60,0,1,-10~-20,-20~-40,,alessia.png,1,1,,0,
