identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,shotsPerAttack,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityEffectDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,showcaseIsTrackingTarget,inRangeCompoundParticleEffectIdentifier,bonusLabel1,bonusLabel2,augmentTotalToUpgrade,augmentInfoIdentifiers,augmentTimeInSeconds,augmentReward,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,friendlySceneFile,friendlyExplosionSceneFile,h
String,Integer,Integer,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,Integer,String,String,Float,Float,Integer,Integer,String,String,String,String,String,String,String,String,Float,Float,Float,Integer,Integer,String,Integer,String,LocalizedString,LocalizedString,Integer,String,Integer,String,Integer,String,String,Integer,String,String,String
IceTurretUpgrades_1,1,0,bld_attackShip_iceTurret.lvl,stru_tower_lobLocators.lvl,iceShard:100,990,,,6991,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,100,598,0,0,,,component:0.2,piercing:2,experience:28,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield1|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,0,,,15,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_2,2,0,bld_attackShip_iceTurret_level02.lvl,stru_tower_lobLocators.lvl,piercing:145,3510,,2,8643,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,138,831,0,0,,,component:0.2,piercing:1,experience:98,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield2|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,0,,,28,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_3,3,0,bld_attackShip_iceTurret_level02.lvl,stru_tower_lobLocators.lvl,iceShard:200,7200,,3,10261,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,195,1171,0,0,,,component:0.2,piercing:1,experience:225,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield3|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,1,,,45,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_4,4,0,bld_attackShip_iceTurret_level03.lvl,stru_tower_lobLocators.lvl,piercing:861,10800,,4,11982,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,265,1591,0,0,,,component:0.195,piercing:2,experience:383,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield4|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,1,,,66,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_5,5,0,bld_attackShip_iceTurret_level03.lvl,stru_tower_lobLocators.lvl,iceShard:300,16200,,5,14255,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,361,2164,0,0,,,component:0.19,piercing:3,experience:428,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield5|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,1,,,104,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_6,6,0,bld_attackShip_iceTurret_level03.lvl,stru_tower_lobLocators.lvl,piercing:1894,21600,,6,16884,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,489,2933,0,0,,,component:0.185,piercing:5,experience:600,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield6|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,2,,,165,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_7,7,0,bld_attackShip_iceTurret_level04.lvl,stru_tower_lobLocators.lvl,iceShard:400,28800,,7,19892,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,660,3960,0,0,,,component:0.18,piercing:8,experience:750,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield7|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,2,,,272,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_8,8,0,bld_attackShip_iceTurret_level04.lvl,stru_tower_lobLocators.lvl,piercing:3714,36000,,8,23314,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,888,5327,0,0,,,component:0.175,piercing:16,experience:750,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield8|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,3,,,437,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_9,9,0,bld_attackShip_iceTurret_level04.lvl,stru_tower_lobLocators.lvl,iceShard:500,43200,,9,27185,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,1050,6303,0,0,,,component:0.165,piercing:44,experience:924,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield9|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,3,,,588,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
IceTurretUpgrades_10,10,0,bld_attackShip_iceTurret_level04.lvl,stru_tower_lobLocators.lvl,piercing:8712,57600,,10,30537,0.5,2,70,15,iceTurret,hpReduction:hpReduction27|slowAttack:slow01,1180,7079,0,0,,,component:0.155,piercing:79,experience:1264,,,hpReduction:hpReductionIceSpecial|slowAttack:slow01|iceShield:buildingsIceShield10|showBattleText:iceShieldText,1.5,1,2,1,90,bld_attackShip_death.lvl,1,Bone_turret,Ice Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,3,,,759,bld_attackShipFriendly_iceTurret.lvl,bld_attackShipFriendly_death.lvl,
