identifier,inBundle,iconFilename,h
String,Integer,String,String
icon_team_crest_001,0,icon_COA_book.png,
icon_team_crest_002,0,icon_COA_bow.png,
icon_team_crest_003,0,icon_COA_carrot.png,
icon_team_crest_004,0,icon_COA_castle.png,
icon_team_crest_005,0,icon_COA_chevron.png,
icon_team_crest_006,0,icon_COA_chickenLeg.png,
icon_team_crest_007,0,icon_COA_crescent.png,
icon_team_crest_008,0,icon_COA_crossingSwords.png,
icon_team_crest_009,0,icon_COA_crown.png,
icon_team_crest_010,0,icon_COA_deadTree.png,
icon_team_crest_011,0,icon_COA_dragon.png,
icon_team_crest_012,0,icon_COA_fire.png,
icon_team_crest_013,0,icon_COA_fleurDeLys.png,
icon_team_crest_014,0,icon_COA_flower.png,
icon_team_crest_015,0,icon_COA_fourLeafClover2.png,
icon_team_crest_016,0,icon_COA_fourLeafClover.png,
icon_COA_griffin,0,icon_COA_griffin.png,
icon_COA_horseshoe,0,icon_COA_horseshoe.png,
icon_COA_knightHelm,0,icon_COA_knightHelm.png,
icon_COA_leaves,0,icon_COA_leaves.png,
icon_COA_lightning,0,icon_COA_lightning.png,
icon_COA_lion,0,icon_COA_lion.png,
icon_COA_lollipop,0,icon_COA_lollipop.png,
icon_COA_moon,0,icon_COA_moon.png,
icon_COA_mountains,0,icon_COA_mountains.png,
icon_COA_moustache,0,icon_COA_moustache.png,
icon_COA_painterPalette,0,icon_COA_painterPalette.png,
icon_COA_pattern_01,0,icon_COA_pattern_01.png,
icon_COA_pattern_02,0,icon_COA_pattern_02.png,
icon_COA_pattern_03,0,icon_COA_pattern_03.png,
icon_COA_pattern_04,0,icon_COA_pattern_04.png,
icon_COA_pattern_05,0,icon_COA_pattern_05.png,
icon_COA_pattern_06,0,icon_COA_pattern_06.png,
icon_COA_pattern_07,0,icon_COA_pattern_07.png,
icon_COA_pattern_08,0,icon_COA_pattern_08.png,
icon_COA_pencil,0,icon_COA_pencil.png,
icon_COA_pirateSkull,0,icon_COA_pirateSkull.png,
icon_COA_ruby,0,icon_COA_ruby.png,
icon_COA_ship,0,icon_COA_ship.png,
icon_COA_skull,0,icon_COA_skull.png,
icon_COA_star,0,icon_COA_star.png,
icon_COA_storm,0,icon_COA_storm.png,
icon_COA_sun,0,icon_COA_sun.png,
icon_COA_talons,0,icon_COA_talons.png,
icon_COA_trees,0,icon_COA_trees.png,
icon_COA_trophy,0,icon_COA_trophy.png,!@#ldaiiipfnbgcafea
