identifier,text,h
String,LocalizedString,String
buildingDescription_archerTower,"Defensive Power: Light Arrow
Supershot: Flaming Arrow
Special Attributes: Flaming Arrow deals high damage",
buildingDescription_cannonTower,"Defensive Power: Cannonball
Supershot: Flaming Cannonball
Special Attributes: Flaming Cannonballs break all Shield spells",
buildingDescription_darkFlakTower,High damage and durability with short range. Supershot stuns dragon temporarily.,
buildingDescription_lightningTower,"Defensive Power: Electricity
Supershot: Superpowered Lightning
Special Attributes: Nearby Lightning Towers increase damage",
buildingDescription_mageTower,"Defensive Power: Red Spell Block
Supershot: Drain Rage
Special Attributes: Stops Red spells from affecting nearby buildings, Drain Rage stops Dragon from gaining Rage",
buildingDescription_mageBlueTower,"Defensive Power: Blue Spell Block
Supershot: Drain Rage
Special Attributes: Blocks Blue Spells from being used, Drain Rage stops Dragon from gaining Rage",
buildingDescription_ballista,"Defensive Power: Poisoned Dart
Supershot: Poisoned Javelin
Special Attributes: Poison drains health over time",
buildingDescription_trebuchet,"Defensive Power: Boulder
Supershot: Giant Boulder
Special Attributes: Giant Boulder stuns the Dragon for a few seconds",
buildingDescription_smokeTower,"Defensive Power: Prism
Supershot: Decoy Shield
Special Attributes: Decoy Shield protects surrounding towers",
buildingDescription_stormTower,"Defensive Power: Vortex
Supershot: Protective Shield
Special Attributes: Vortex sucks health and steals medals, Protective Shield makes surrounding towers invincible",
buildingDescription_hogFarm,Provides Food to train and attack with dragons.,
buildingDescription_incubator,"Hatches eggs.
Upgrade to hatch rare eggs.
Looked over by the Dragon Keepers, an ancient order of monks dedicated to the training, breeding, and healing of dragons.",
buildingDescription_stable,"Houses dragons, who are stabled in the catacombs far beneath its entrance.
Train and Heal dragons here.",
buildingDescription_woodFarm,Produces the lumber for your buildings and towers.,
buildingDescription_stoneFarm,"Produces the stone for your buildings and towers.
Production increased by upgrading and research.",
buildingDescription_copperFarm,The Copper Mine produces the copper for your buildings and towers.,
buildingDescription_migration,"Perhaps one of the most interesting parts of strategic base defense, the Migration Station allows you to discover, unlock and move your base to new locations.   As we discover new lands, our cartographers constantly revise their maps.   These researchers provide information on the tradeoffs of different layouts and plan the migration from base to base.   ",
buildingDescription_guild,"Strategize, declare wars, and communicate with your team.
Join new teams and approve new team members.
Teams consist of a leader, a set of officers, and normal members. Leaders are in charge of modifying team information and can also promote and kick anyone out. ",
