identifier,inBundle,zip_files,h
String,Integer,Array<String>,String
ptl_uproot_projectile.part,0,fx_elect_04.png|fx_flare.png|fx_roots_01.png|fx_smoke2x2.png|fx_wave_01.png|ptl_uproot_projectile.part|ptl_uproot_projectile_LOD00.part|ptl_uproot_projectile_LOD01.part|ptl_uproot_projectile_LOD02.part,
spl_ferociousDive_start.part,0,spl_ferociousDive_start_LOD00.part,
amb_drg_maskedPlague_wings.part,0,amb_drg_maskedPlague_wings.part|fx_Smoke04_gry_Ssu.png,
prj_drg_dwarfTunnel.part,0,fx_Smoke05_gry_Ssu.png|fx_glsprt01_Ssu_gry.png|fx_smoke01_gry_Ssu.png|fx_smoke2x2.png|prj_drg_dwarfTunnel_LOD00.part|prj_drg_dwarfTunnel_LOD01.part|prj_drg_dwarfTunnel_LOD02.part,
imp_tidalSurge_hit.part,0,defaultParticle.png|fx_dust2x2.png|fx_smoke2x2.png|fx_waterSplash_round.png|imp_tidalSurge_hit_LOD00.part|imp_tidalSurge_hit_LOD01.part|imp_tidalSurge_hit_LOD02.part,
imp_drg_feyAutumn_miss.part,0,fx_flrstr01_Ssu_grey.png|fx_smoke2x2_gry.png|imp_drg_feyAutumn_miss_LOD00.part|imp_drg_feyAutumn_miss_LOD01.part|imp_drg_feyAutumn_miss_LOD02.part,
spl_silentSwoop_burst.part,0,fx_dust2x2.png|fx_flare.png|fx_frost_01.png|fx_ring_16.png|spl_silentSwoop_burst_LOD00.part|spl_silentSwoop_burst_LOD01.part|spl_silentSwoop_burst_LOD02.part,
spl_drg_acidSpit_sphere.part,0,fx_blackHole01_Ssu_gry.png|fx_flareLens2x2_rgb_Ssu.png|fx_water_splash_2x2.png|spl_drg_acidSpit_sphere.part|spl_drg_acidSpit_sphere_LOD00.part|spl_drg_acidSpit_sphere_LOD01.part|spl_drg_acidSpit_sphere_LOD02.part,
imp_drg_hover_hit.part,0,fx_fire04_Ssu.png|fx_flare.png|fx_smoke2x2_gry.png|imp_drg_hover_hit_LOD00.part|imp_drg_hover_hit_LOD01.part|imp_drg_hover_hit_LOD02.part,
ptl_drg_EnergyWave_Impact_Dark.part,0,fx_flrstr01_Ssu_grey.png|fx_light_ray_03.png|fx_ring_01.png|ptl_airBreath_litBluePuff_dif.png|ptl_drg_EnergyWave_Impact_Dark.part|ptl_drg_EnergyWave_Impact_Dark_LOD00.part|ptl_drg_EnergyWave_Impact_Dark_LOD01.part|ptl_drg_EnergyWave_Impact_Dark_LOD02.part|spiral.pod,
