identifier,objectType,level,expansionArea,maxLoot,h
String,String,Integer,String,String,String
bld01,hogFarm,1,expansion_038,food:5,
bld02,hogFarm,1,expansion_040,food:5,
bld03,archerTowerTutorial,4,expansion_037,,
bld04,archerTowerTutorial,4,expansion_032,,
bld05,archerTowerTutorial,4,expansion_031,,
bld06,cannonTowerTutorial,4,expansion_033,,
bld07,cannonTowerTutorial,4,expansion_028,,
bld08,cannonTowerTutorial,4,expansion_027,,
bld09,archerTowerTutorial,4,expansion_026,,
bld10,temple,1,DITM_island06,,
bld11,lighthouse,1,DITM_island03,,
bld12,waterGate,1,DITM_island04,,
bld13,library,1,DITM_island05,,
bld14,statues,1,DITM_island02,,
bld15,mountDragon,1,DITM_island07,,
bld16,tripleTowers,1,DITM_island08,,!@#niomefpefkikchlb
