identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityRange,activeAbilityBattleText,explosionSceneFile,bonusLabel1,bonusLabel2,activeParticleEffectIdentifier,isAutoUpgrading,isAutoCompleting,constructionSceneFile,customUpgradeSceneFile,battleBuildingRewardDistributionIdentifier,h
String,Integer,String,String,String,String,Integer,String,Float,String,String,String,String,String,String,String,Float,Integer,String,String,String,String,String,Integer,Integer,String,String,String,String
MountDragonUpgrades_1,1,1,prop_monument_dragonHead.lvl,,piercing:0,0,level01,1250,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_2,2,1,prop_monument_dragonHead.lvl,,piercing:0,0,level04,1633,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_3,3,1,prop_monument_dragonHead.lvl,,piercing:0,0,level07,2160,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_4,4,1,prop_monument_dragonHead.lvl,,piercing:0,0,level10,2744,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_5,5,1,prop_monument_dragonHead.lvl,,piercing:0,0,level13,3563,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_6,6,1,prop_monument_dragonHead.lvl,,piercing:0,0,level16,4584,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_7,7,1,prop_monument_dragonHead.lvl,,piercing:0,0,level19,5828,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_8,8,1,prop_monument_dragonHead.lvl,,piercing:0,0,level22,7206,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_9,9,1,prop_monument_dragonHead.lvl,,piercing:0,0,level25,8541,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_10,10,1,prop_monument_dragonHead.lvl,,piercing:0,0,level28,10042,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_11,11,1,prop_monument_dragonHead.lvl,,piercing:0,0,level31,11795,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_12,12,1,prop_monument_dragonHead.lvl,,piercing:0,0,level34,13854,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_13,13,1,prop_monument_dragonHead.lvl,,piercing:0,0,level37,16273,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_14,14,1,prop_monument_dragonHead.lvl,,piercing:0,0,level40,19115,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_15,15,1,prop_monument_dragonHead.lvl,,piercing:0,0,level43,22453,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_16,16,1,prop_monument_dragonHead.lvl,,piercing:0,0,level46,26373,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_17,17,1,prop_monument_dragonHead.lvl,,piercing:0,0,level49,30978,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_18,18,1,prop_monument_dragonHead.lvl,,piercing:0,0,level52,36387,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_19,19,1,prop_monument_dragonHead.lvl,,piercing:0,0,level55,42742,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_20,20,1,prop_monument_dragonHead.lvl,,piercing:0,0,level58,50205,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_21,21,1,prop_monument_dragonHead.lvl,,piercing:0,0,level61,58972,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_22,22,1,prop_monument_dragonHead.lvl,,piercing:0,0,level64,69270,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_23,23,1,prop_monument_dragonHead.lvl,,piercing:0,0,level67,81366,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
MountDragonUpgrades_24,24,1,prop_monument_dragonHead.lvl,,piercing:0,0,level70,95575,,,,0~20~60,,,,,,,prop_monument_dragonHead_death.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
