identifier,useExtension,customFileIdentifier,customNotes,h
String,Integer,String,String,String
extensionIdentifier,0,,this is the extensionIdentifier for reskins,
stru_resource_breedingCave_level1.lvl,0,,BreedingUpgrades.csv,
stru_resource_breedingCave_level2.lvl,0,,BreedingUpgrades.csv,
stru_resource_breedingCave_level3.lvl,0,,BreedingUpgrades.csv,
stru_resource_builderHut_level01.lvl,0,,BuilderUpgrades.csv,
stru_resource_builderHut_level02.lvl,0,,BuilderUpgrades.csv,
stru_resource_builderHut_level03.lvl,0,,BuilderUpgrades.csv,
perchAutumn_construction.lvl,0,,"DragonPerch03BuildingUpgrades.csv, DragonPerch06BuildingUpgrades.csv",
perchGrass_level01.lvl,0,,DragonPerch03BuildingUpgrades.csv,
perchGrass_level02.lvl,0,,DragonPerch03BuildingUpgrades.csv,
perchGrass_level03.lvl,0,,DragonPerch03BuildingUpgrades.csv,
perchAutumn_level01.lvl,0,,DragonPerch06BuildingUpgrades.csv,
perchAutumn_level02.lvl,0,,DragonPerch06BuildingUpgrades.csv,
perchAutumn_level03.lvl,0,,DragonPerch06BuildingUpgrades.csv,
perchVolcanic_construction.lvl,0,,DragonPerch08BuildingUpgrades.csv,
perchVolcanic_level01.lvl,0,,DragonPerch08BuildingUpgrades.csv,
perchVolcanic_level02.lvl,0,,DragonPerch08BuildingUpgrades.csv,
perchVolcanic_level03.lvl,0,,DragonPerch08BuildingUpgrades.csv,
stru_resource_alchemyHut_level01.lvl,0,,ForgeUpgrades.csv,
stru_resource_alchemyHut_level02.lvl,0,,ForgeUpgrades.csv,
stru_resource_alchemyHut_level03.lvl,0,,ForgeUpgrades.csv,
stru_resource_guildHall_level02.lvl,0,,GuildUpgrades.csv,
stru_resource_incubator_level01.lvl,0,,"IncubatorUpgrades.csv, Level03ExpansionArea.csv",
stru_resource_incubator_level02.lvl,0,,IncubatorUpgrades.csv,
stru_resource_incubator_level03.lvl,0,,IncubatorUpgrades.csv,
bld_library01.lvl,0,,LibraryUpgrades.csv,
bld_lighthouse.lvl,0,,LighthouseUpgrades.csv,
prop_monument_dragonHead.lvl,0,,MountDragonUpgrades.csv,
prop_monument_dragonStatue.lvl,0,,StatueUpgrades.csv,
bld_shrine01.lvl,0,,TempleUpgrades.csv,
prop_monument_volcanoBuilding.lvl,0,,TripleTowersUpgrades.csv,
prop_monument_knightStatue.lvl,0,,WaterGateUpgrades.csv,
stru_resource_research_level01.lvl,0,,ResearchUpgrades.csv,
stru_resource_research_level02.lvl,0,,ResearchUpgrades.csv,
stru_resource_research_level03.lvl,0,,ResearchUpgrades.csv,
stru_resource_rubyMine.lvl,0,,RubyMineUpgrades.csv,
stru_resource_runeBuilding.lvl,0,,RuneBuildingUpgrades.csv,
stru_resource_salvage.lvl,0,,SalvageDepotBuildingUpgrades.csv,
prop_monument_waterGod.lvl,0,,ShrineUpgrades.csv,
stru_resource_stable_level01.lvl,0,,StableUpgrades.csv,
stru_resource_stable_level02.lvl,0,,StableUpgrades.csv,
stru_resource_stable_level03.lvl,0,,StableUpgrades.csv,
stru_resource_vault_level01.lvl,0,,StorageUprades.csv,
stru_resource_vault_level02.lvl,0,,StorageUprades.csv,
stru_resource_vault_level03.lvl,0,,StorageUprades.csv,
prop_deco_hut.lvl,0,,DestructibleLOB.csv,
woodenBridge_01.lvl,0,,DestructibleLOB.csv,
stairs_01.lvl,0,,DestructibleLOB.csv,
largeBridge_01.lvl,0,,DestructibleLOB.csv,
DITM_island04_broken_01.lvl,0,,DestructibleLOB.csv,
bridge_01.lvl,0,,DestructibleLOB.csv,
prop_deco_hutLarge.lvl,0,,DestructibleLOB.csv,
prop_deco_hutRaised.lvl,0,,DestructibleLOB.csv,
prop_deco_hutSmall.lvl,0,,DestructibleLOB.csv,!@#hfkckhbbabbijgch
